row_id,shape_name,shape_code,suburb_name,state_short,state_long
286,Bookham,10286,Bookham,NSW,New South Wales
287,Boolambayte,10287,Boolambayte,NSW,New South Wales
288,Boolaroo,10288,Boolaroo,NSW,New South Wales
289,Booligal,10289,Booligal,NSW,New South Wales
290,Boomanoomana,10290,Boomanoomana,NSW,New South Wales
291,Boomerang Beach,10291,Boomerang Beach,NSW,New South Wales
292,Booragul,10292,Booragul,NSW,New South Wales
293,Booral (NSW),10293,Booral ,NSW,New South Wales
294,Boorolong,10294,Boorolong,NSW,New South Wales
295,Boorooma,10295,Boorooma,NSW,New South Wales
296,Boorowa,10296,Boorowa,NSW,New South Wales
297,Bootawa,10297,Bootawa,NSW,New South Wales
298,Bora Ridge,10298,Bora Ridge,NSW,New South Wales
299,Borambola,10299,Borambola,NSW,New South Wales
300,Boree Creek,10300,Boree Creek,NSW,New South Wales
301,Borenore,10301,Borenore,NSW,New South Wales
302,Bossley Park,10302,Bossley Park,NSW,New South Wales
303,Botany,10303,Botany,NSW,New South Wales
304,Botany Bay,10304,Botany Bay,NSW,New South Wales
305,Bouddi,10305,Bouddi,NSW,New South Wales
306,Bourke,10306,Bourke,NSW,New South Wales
307,Bourkelands,10307,Bourkelands,NSW,New South Wales
308,Bournda,10308,Bournda,NSW,New South Wales
309,Bow Bowing,10309,Bow Bowing,NSW,New South Wales
310,Bowan Park,10310,Bowan Park,NSW,New South Wales
311,Bowen Mountain,10311,Bowen Mountain,NSW,New South Wales
312,Bowenfels,10312,Bowenfels,NSW,New South Wales
313,Bowman,10313,Bowman,NSW,New South Wales
314,Bowning,10314,Bowning,NSW,New South Wales
315,Bowral,10315,Bowral,NSW,New South Wales
316,Bowraville,10316,Bowraville,NSW,New South Wales
317,Box Head,10317,Box Head,NSW,New South Wales
318,Box Hill (NSW),10318,Box Hill ,NSW,New South Wales
319,Boydtown,10319,Boydtown,NSW,New South Wales
320,Bradbury (NSW),10320,Bradbury ,NSW,New South Wales
321,Braemar,10321,Braemar,NSW,New South Wales
322,Braidwood,10322,Braidwood,NSW,New South Wales
323,Brandy Hill,10323,Brandy Hill,NSW,New South Wales
324,Branxton,10324,Branxton,NSW,New South Wales
325,Braunstone,10325,Braunstone,NSW,New South Wales
326,Bray Park (NSW),10326,Bray Park ,NSW,New South Wales
327,Breadalbane (NSW),10327,Breadalbane ,NSW,New South Wales
328,Breakfast Creek,10328,Breakfast Creek,NSW,New South Wales
329,Breakfast Point,10329,Breakfast Point,NSW,New South Wales
330,Bream Beach,10330,Bream Beach,NSW,New South Wales
331,Bredbo,10331,Bredbo,NSW,New South Wales
332,Brewarrina,10332,Brewarrina,NSW,New South Wales
333,Brewongle,10333,Brewongle,NSW,New South Wales
334,Bribbaree,10334,Bribbaree,NSW,New South Wales
