SSC,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs/No Religious Affiliation
Bogong Peaks Wilderness,0,0,0,0,0,0,0
Bohena Creek,0,123,0,0,0,0,16
Bohnock,0,42,0,0,0,0,24
Bolaro,0,24,0,0,0,0,9
Bolivia,0,57,0,0,0,0,12
Bolong,5,58,0,0,0,0,37
Bolton Point,25,1163,8,0,0,14,648
Bolwarra (NSW),6,652,0,0,0,0,269
Bolwarra Heights,11,2077,9,4,0,6,693
Bom Bom,0,0,0,0,0,0,0
Bomaderry,52,3972,18,15,4,22,1924
Bombah Point,0,0,0,0,0,0,4
Bombala,7,979,0,0,0,3,288
Bombay,0,47,0,0,0,0,58
Bombira,0,267,0,0,0,0,60
Bombo,0,74,0,0,0,0,23
Bombowlee,0,216,0,0,0,0,39
Bombowlee Creek,0,42,0,0,0,0,8
Bomen,0,23,0,0,0,0,7
Bomera,0,18,0,0,0,0,8
Bonalbo,6,197,13,0,0,3,106
Bondi,133,3324,48,46,1266,28,3686
Bondi Beach,165,3656,46,37,762,32,4897
Bondi Forest,0,0,0,0,0,0,0
Bondi Junction,212,3411,65,53,1021,29,3041
Bonnells Bay,31,2328,0,0,3,10,960
Bonnet Bay,15,1507,5,5,0,5,596
Bonny Hills,21,1897,4,3,0,12,809
Bonnyrigg,2658,3630,74,310,0,119,1183
Bonnyrigg Heights,1589,3922,119,431,0,59,769
Bonshaw (NSW),0,94,0,0,0,0,19
Bonville,31,1532,3,4,0,26,765
Booerie Creek,0,96,0,0,0,0,37
Book Book,0,60,0,0,0,0,17
Booker Bay,5,810,0,0,0,3,364
Bookham,0,99,0,0,0,0,35
Bookookoorara,0,16,0,0,0,3,4
Bookram,0,0,0,0,0,0,0
Boolambayte,0,48,0,0,0,0,27
Boolaroo,7,631,5,0,0,3,318
Boolcarroll,0,11,0,0,0,0,4
Booligal,0,74,0,0,0,0,15
Boolijah,0,0,0,0,0,0,0
Boomanoomana,0,55,0,0,0,0,18
Boomerang Beach,0,134,0,0,0,0,123
Boomey,0,44,0,0,0,0,20
Boomi,0,145,0,0,0,0,27
Boomi Creek,0,16,0,0,0,0,3
Boona Mount,0,17,0,0,0,0,0
Boonal,0,23,0,0,0,0,12
Boonoo Boonoo,0,6,0,0,0,0,7
Boorabee Park,0,72,0,0,0,0,17
Booragul,3,796,3,5,0,3,350
Booral (NSW),4,209,0,7,0,3,155
Boorga,0,11,0,0,0,0,0
Boorganna,0,20,0,0,0,0,3
Boorolong,0,55,0,0,0,0,22
Boorook,0,20,0,0,0,0,7
Boorooma,14,546,25,29,0,6,195
Booroorban,0,22,0,0,0,0,9
Boorowa,7,1247,4,6,0,3,245
Bootawa,0,102,0,0,0,0,39
Booti Booti,0,0,0,0,0,0,0
Booyong,0,39,0,0,0,0,31
Bora Ridge,3,55,0,0,0,0,31
Borah Creek,0,21,0,0,0,0,10
Borambola,0,75,0,0,0,0,24
Border Ranges,0,0,0,0,0,0,0
Boree,0,63,0,0,0,0,10
Boree Creek,0,135,0,0,0,0,40
Borenore,3,326,0,0,0,0,75
Boro,0,36,0,0,0,0,40
Bossley Park,1024,10909,117,434,0,203,1067
Bostobrick,3,64,0,0,0,0,55
Botany,217,6621,105,162,222,41,2499
Botobolar,0,66,0,0,0,0,15
Bottle Creek,0,14,0,0,0,0,7
Bouddi,0,5,0,0,0,0,0
Bourbah,0,34,0,0,0,0,0
Bourke,6,1290,11,7,0,0,257
Bourkelands,17,2100,15,9,0,5,548
Bournda,0,50,0,0,0,0,61
Bournewood,0,38,0,0,0,0,4
Bow Bowing,67,970,121,130,0,17,230
Bowan Park,0,89,0,0,0,0,22
Bowen Mountain,18,907,0,0,0,12,504
Bowenfels,4,1259,4,4,0,7,503
Bowling Alley Point,0,15,0,0,0,0,12
Bowman,3,70,0,3,0,0,35
Bowman Farm,0,30,0,0,0,0,13
Bowmans Creek,0,10,0,0,0,0,0
Bowna,0,78,0,0,0,3,18
