SSC,Buddhism,Christianity,Hinduism,Islam,Judaism,Other Religions,Secular Beliefs/No Religious Affiliation
Burekup,0,476,0,0,0,0,248
Burges,0,4,0,0,0,0,0
Burlong,0,23,0,0,0,0,10
Burma Road,0,5,0,0,0,0,0
Burns Beach,20,2019,72,53,4,19,1040
Burnside (WA),6,76,0,0,8,0,159
Burracoppin,0,64,0,0,0,0,24
Burran Rock,0,13,0,0,0,0,0
Burrup,0,0,0,0,0,0,0
Burswood,97,962,100,54,5,17,745
Busselton,16,980,16,30,0,18,609
Butler (WA),117,6505,115,145,7,73,4730
Byford,166,6804,290,203,4,360,5812
Cable Beach,81,2345,20,28,0,21,2141
Cadoux,9,41,0,0,0,0,13
Caiguna,0,5,0,0,0,0,0
Calingiri,0,103,0,0,0,0,79
Calista,21,1051,8,4,0,13,662
Caljie,0,23,0,0,0,0,20
Callcup,0,4,0,0,0,0,16
Camballin,0,536,0,0,0,41,106
Cambridge Gulf,0,36,0,0,0,0,9
Camillo,68,2105,46,103,8,45,1651
Cancanning,0,13,0,0,0,0,9
Cane,0,5,0,0,0,0,0
Canna,0,34,0,0,0,0,27
Canning Mills,0,20,0,0,0,0,4
Canning Vale,1808,15256,1745,1661,0,694,8772
Cannington,270,2140,385,715,0,381,1378
Cape Arid,0,0,0,0,0,0,0
Cape Burney,3,277,0,7,0,0,153
Cape Le Grand,0,0,0,0,0,0,0
Cape Range National Park,0,7,0,0,0,0,0
Capel,25,1203,0,0,0,16,1026
Capel River,3,86,0,0,0,0,38
Capricorn,0,10,0,0,0,0,12
Caraban,0,17,0,0,0,0,0
Carabooda,28,230,0,0,0,0,120
Carani,0,9,0,0,0,0,10
Carbla,0,0,0,0,0,0,0
Carbunup River,0,49,0,0,0,0,46
Cardiff (WA),5,58,0,0,0,0,38
Cardup,3,565,0,6,0,12,463
Carey Park,55,2569,29,31,0,35,1896
Carine,74,3578,56,4,14,34,2243
Carlisle,197,2660,149,334,0,77,2282
Carlotta,0,46,0,0,0,0,31
Carmel,5,443,4,0,0,0,179
Carnamah,0,257,0,0,0,0,97
Carnarvon,4,95,12,0,0,0,45
Carrabin,0,3,0,0,0,0,0
Carramar (WA),59,3936,53,82,0,57,2514
Carrolup,0,32,0,0,0,0,16
Cartmeticup,0,35,0,0,0,0,15
Cascade (WA),0,65,0,0,0,0,33
Castletown,20,2192,3,0,0,0,1284
Casuarina (WA),0,403,0,0,0,0,321
Cataby,0,22,0,0,0,0,26
Catterick,0,125,0,0,0,0,44
Caversham,129,2785,279,183,11,79,1391
Centennial Park (WA),7,363,6,17,0,11,173
Cervantes,7,267,0,0,0,5,179
Chadwick,0,90,0,0,0,0,61
Champion Lakes,38,588,35,29,0,24,332
Chandler (WA),0,9,0,0,0,0,9
Changerup,0,30,0,0,0,0,12
Channybearup,0,54,0,0,0,0,73
Chapman Hill,0,57,0,0,0,6,39
Charley Creek,0,34,0,0,0,0,17
Cherry Tree Pool,0,40,0,0,0,0,16
Cheynes,0,10,0,0,0,0,5
Chichester (WA),0,4,0,0,0,0,3
Chidlow,13,871,0,0,0,7,745
Chittering,16,474,0,0,4,5,316
Chowerup,0,17,0,0,0,0,19
Churchlands,134,1735,176,51,12,28,1008
City Beach,65,3893,39,19,38,25,2059
Clackline,7,159,0,0,0,3,119
Claremont (WA),110,4161,77,76,24,53,2679
Clarkson,261,5867,224,350,11,183,4795
Cleary,0,7,0,0,0,0,0
Cleaverville,0,4,0,0,0,0,3
Clifton (WA),0,0,0,0,0,0,0
Cloverdale,274,3731,233,439,6,124,2202
Coblinine,0,30,0,4,0,0,9
Coburn,0,0,0,0,0,0,0
Cockburn Central,26,536,36,33,0,12,490
Cocklebiddy,0,0,0,0,0,0,3
Codjatotine,0,27,0,0,0,0,13
Cold Harbour,0,39,0,0,0,0,28
Collanilling,0,22,0,0,0,0,0
College Grove,10,666,3,9,0,7,444
Collie (WA),35,3959,8,11,0,41,2705
Collie Burn,0,27,0,0,0,0,22
Collingwood Heights,0,316,4,0,0,6,286
Collingwood Park (WA),5,112,0,0,0,0,88
Collins,0,18,0,0,0,0,13
Commodine,0,19,0,0,0,0,6
Como (WA),427,6629,234,356,21,106,4818
Condingup,0,111,0,0,0,0,118
Connolly,36,2141,22,25,3,20,1134
Contine,0,6,5,0,0,0,9
Coodanup,33,2041,3,12,0,15,1374
Coogee (WA),41,3116,12,14,3,16,1031
Cookernup,0,256,0,0,0,0,192
Cooladar Hill,0,0,0,0,0,0,7
Coolbellup,84,2218,39,108,11,35,2209
Coolbinia,17,812,6,13,187,0,481
Coolcalalaya,0,11,0,0,0,0,0
Coolgardie (WA),3,428,0,3,0,8,288
Cooljarloo,0,3,0,0,0,0,0
Cooloongup,72,3335,40,56,3,50,2529
Coolup,0,206,0,0,0,3,148
Coomalbidgup,0,69,0,0,0,0,44
Coomberdale,0,34,0,0,0,0,24
Coonabidgee,0,60,0,0,0,0,43
Coondle,9,337,0,0,0,0,240
Coorow,0,104,0,0,0,0,50
Cooya Pooya,0,4,0,0,0,0,0
Copley (WA),0,29,0,0,0,0,17
Coral Bay,0,69,0,3,0,0,116
Corinthia,0,4,0,0,0,0,0
Corrigin,3,465,5,0,0,5,259
Cosmo Newbery,0,40,0,0,0,6,11
Cossack (WA),0,0,0,0,0,0,0
Cottesloe,66,3797,31,13,20,13,2712
Courtenay,0,11,0,0,0,0,26
Cowalellup,0,10,0,0,0,0,7
Cowalla,0,29,0,0,0,0,15
Cowaramup,22,709,8,0,0,6,895
Cowcowing,0,11,0,0,0,0,11
Coyrecup,0,24,0,0,0,0,11
Craigie (WA),78,2657,31,46,6,24,2486
Cramphorne,0,30,0,0,0,0,19
Cranbrook (WA),0,287,0,0,0,0,153
Crawley,183,1242,106,305,42,38,1743
Crooked Brook,0,125,0,0,0,0,46
Crossman,0,100,0,0,0,5,79
Crowea,0,49,0,0,0,0,59
Cuballing,4,214,0,0,0,3,157
Cubbine,0,13,0,0,0,0,7
Cue,0,69,0,0,0,0,56
Culham,0,11,0,0,0,0,11
Cullacabardee,0,14,0,0,0,0,18
Cullalla,0,12,0,0,0,0,9
Cundeelee,0,35,0,0,0,0,37
Cunderdin,0,563,0,6,0,4,212
Cundinup,0,24,0,0,0,0,16
Cunjardine,0,12,0,0,0,0,13
Currambine,91,4044,53,73,16,77,2083
Cuthbert,0,57,0,0,0,0,67
Daadenning Creek,0,25,0,0,0,0,3
Daggar Hills,0,0,0,0,0,0,0
Daglish,28,621,18,14,6,14,603
Dale,0,128,0,0,0,0,63
Daliak,0,35,0,0,0,0,13
Dalkeith,84,2454,95,45,20,22,1202
Dalwallinu,12,495,0,0,0,0,187
Dalyellup,64,4713,63,64,5,54,3263
Dalyup,0,77,0,0,0,4,55
Dampier,22,469,0,0,0,0,479
Dampier Archipelago,0,0,0,0,0,0,0
Dampier Peninsula,0,815,0,0,0,16,131
Dandanning,0,3,0,0,0,0,8
Dandaragan,0,233,0,0,0,0,74
Dangin,0,20,0,0,0,0,13
Darch,360,3865,458,349,12,70,1492
Dardadine,0,6,0,0,0,0,16
Dardanup,0,284,0,0,0,0,192
Dardanup West,0,452,0,0,0,4,161
Darkan,0,206,0,0,0,0,155
Darling Downs,7,718,5,0,4,0,394
Darlington (WA),27,1752,5,0,3,25,1524
Darradup,0,10,0,0,0,0,21
Dartmoor (WA),0,0,0,0,0,0,9
Dartnall,0,24,0,0,0,0,0
Datatine,0,13,0,0,0,0,4
Davenport (WA),0,14,0,0,0,0,0
Dawesville,53,3192,12,8,6,22,1998
Dayton,79,1172,305,178,0,232,639
De Grey,0,5,0,0,0,0,15
Deanmill,0,157,0,0,0,0,127
Deepdale,6,538,0,7,6,0,244
Deepdene (WA),0,23,0,0,0,0,32
Denbarker,0,36,0,0,0,0,36
Denham,6,367,4,3,0,3,291
Denmark,46,952,11,0,5,29,1258
Derby (WA),19,1854,16,12,0,60,934
Devils Creek,0,25,0,0,0,0,0
Dewars Pool,0,10,0,0,0,5,18
Diamond Tree,0,18,0,0,0,0,7
Dianella,938,12602,362,942,1312,259,5258
Dindiloa,0,13,0,0,0,0,0
Dingup,0,107,0,0,0,0,73
Dinninup,0,71,0,0,0,0,50
Dirk Hartog Island,0,0,0,0,0,0,0
Dixvale,0,27,0,0,0,0,18
Djugun,60,1165,11,19,0,6,1274
Dongara,6,785,0,4,0,4,444
Dongolocking,0,11,0,0,0,0,6
Donnelly River,0,0,0,0,0,0,0
Donnybrook (WA),26,1486,9,22,0,17,939
Doodenanning,0,21,0,0,0,0,8
Doodlakine,4,46,0,0,0,0,13
Dorre Island,0,0,0,0,0,0,0
Doubleview,103,4099,112,65,26,46,3099
Dowerin,0,264,0,0,0,0,160
Drome,0,27,0,0,0,0,16
Drummond Cove,3,800,0,9,0,0,505
Dryandra,0,4,0,0,0,0,0
Drysdale River,0,12,0,0,0,0,0
Dudawa,0,11,0,0,0,0,13
Dudinin,3,41,0,0,0,0,24
Dudley Park (WA),78,3679,32,24,0,25,1883
Dukin,0,17,0,0,0,0,17
Dulbelling,0,28,0,0,0,0,12
Dulyalbin,0,18,0,0,0,0,4
Dumbarton,0,114,0,4,0,5,64
Dumberning,0,112,0,0,0,0,38
Dumbleyung,0,133,0,0,0,0,99
Duncraig,139,8600,156,71,9,52,5202
Dundas (WA),0,3,0,0,0,0,0
Dunn Rock,0,6,0,0,0,0,3
Dunsborough,80,2422,13,7,3,9,2273
Durack (WA),0,86,0,0,0,0,70
Duranillin,0,45,0,0,0,0,20
Durawah,0,7,0,0,0,0,8
Dwarda,0,9,0,0,0,0,3
Dwellingup,10,270,0,0,0,0,188
Eagle Bay,0,27,0,0,0,0,32
East Augusta,0,15,0,0,0,0,7
East Ballidu,0,27,0,0,0,0,18
East Beverley,0,62,0,0,0,0,20
East Bowes,0,36,0,0,0,0,7
East Bunbury,51,2222,19,20,0,32,1240
East Cannington,275,2238,294,634,0,219,1300
East Carnarvon,8,438,0,0,0,0,328
East Chapman,0,25,0,0,0,0,15
East Damboring,0,8,0,0,0,0,0
East Fremantle,75,3621,22,13,14,48,2855
East Lyons River,0,4,0,0,0,0,0
East Munglinup,0,26,0,0,0,0,15
East Murchison,0,9,0,0,0,0,0
East Nabawa,0,3,0,0,0,0,5
East Nannup,0,13,0,0,0,0,9
East Newdegate,0,11,0,0,0,0,10
East Perth,497,3673,459,419,33,95,3580
East Pingelly,3,140,0,0,0,0,50
East Popanyinning,0,12,0,0,0,0,4
East Rockingham,0,138,0,0,0,0,79
East Victoria Park,272,3992,216,385,5,118,3765
East Wickepin,0,18,0,0,0,0,10
East Yuna,0,27,0,0,0,0,4
Eastbrook,0,84,0,0,0,0,29
Eaton (WA),88,4437,32,57,0,29,3036
Eden Hill,84,1801,53,72,0,33,1087
Edgewater,50,2424,13,45,10,19,1585
Eganu,0,21,0,0,0,0,19
Eglinton (WA),6,748,5,11,0,8,711
Eighty Mile Beach,0,54,0,0,0,0,26
Elabbin,0,9,0,0,0,0,15
Elachbutting,0,11,0,0,0,0,5
Elgin (WA),0,78,0,0,0,0,30
Elleker,3,172,0,3,0,0,159
Ellenbrook,354,10863,471,450,4,440,7810
Ellendale (WA),0,12,0,0,0,0,0
Embleton,151,1453,34,93,6,29,1050
Emu Flat (WA),0,12,0,0,0,0,3
Emu Point,0,178,0,0,0,0,80
Eneabba,0,77,0,0,0,0,63
Ennuin,0,0,0,0,0,0,0
Eradu,0,13,0,0,0,0,0
Eradu South,0,6,0,0,0,0,3
Erskine (WA),52,2765,5,12,0,20,1360
Esperance,18,1105,7,6,0,9,646
Etmilyn,0,0,0,0,0,0,0
Eucla,0,20,0,0,0,0,15
Eurardy,0,0,0,0,0,0,6
Ewlyamartup,0,24,0,0,0,0,13
Exmouth,14,1048,8,0,4,4,1168
Exmouth Gulf,0,22,0,0,0,0,6
Fairbridge,0,25,0,0,0,0,16
Falcon,75,2798,9,15,0,38,1814
Ferguson (WA),0,118,0,0,0,0,81
Ferndale (WA),98,2096,54,159,0,34,1443
Fimiston,0,0,0,0,0,0,0
Finucane,0,0,0,0,0,0,0
Fitzgerald (WA),0,0,0,0,0,0,0
Fitzgerald River National Park,0,0,0,0,0,0,0
Fitzroy Crossing,4,689,4,3,0,27,370
Flint,0,0,0,0,0,0,0
Floreat,71,4360,65,35,33,39,2703
Flynn (WA),0,0,0,0,0,0,0
Forest Grove (WA),0,102,0,0,0,0,112
Forest Hill (WA),0,36,0,0,0,0,27
Forrest (WA),0,0,0,0,0,0,0
Forrest Beach (WA),0,29,0,0,0,0,12
Forrestania,0,21,0,0,0,0,16
Forrestdale,8,586,0,3,0,5,375
Forrestfield,197,6282,193,278,15,97,4448
Fortescue (WA),0,8,0,0,0,14,16
Frankland River,5,194,0,0,0,6,101
Fraser Range,0,16,0,0,0,0,8
Fremantle,156,2909,50,42,27,36,3798
Furnissdale,10,556,0,0,0,5,334
Gabalong,0,3,0,0,0,0,4
Gabbadah,0,422,3,0,0,4,190
Gabbin,0,27,0,0,0,0,25
Gairdner,0,58,0,0,0,0,41
Gap Ridge,0,26,0,0,0,0,19
Garden Island (WA),6,142,0,3,0,3,215
Gascoyne Junction,0,33,0,0,0,0,31
Gascoyne River,0,23,0,0,0,0,103
Geegully Creek,0,3,0,0,0,0,11
Gelorup,29,1254,0,0,4,8,818
Geographe,32,1758,8,25,0,18,1225
Georgina (WA),0,51,0,0,0,0,28
Geraldton,30,1738,35,29,3,26,836
Ghooli,0,8,0,0,0,0,0
Gibb,0,42,0,0,0,10,22
Gibson,0,290,0,0,0,0,114
Gibson Desert North,0,158,0,0,0,27,36
Gibson Desert South,0,4,0,0,0,0,0
Gidgegannup,31,1327,5,19,0,4,1055
Gilgering,0,47,0,0,0,0,30
Gillimanning,0,12,0,0,0,0,4
Gillingarra,0,23,0,0,0,0,16
Gilroyd,0,0,0,0,0,0,0
Gingerah,0,0,0,0,0,0,0
Gingin,4,484,0,0,0,0,280
Ginginup,0,13,0,0,0,0,13
Girrawheen,564,4400,57,574,5,81,2307
Gledhow,3,477,0,0,0,3,373
Glen Forrest,37,1302,5,6,8,23,1168
Glen Iris (WA),57,1582,9,19,0,9,1043
Glen Mervyn,0,27,0,0,0,0,10
Glencoe (WA),0,23,0,0,0,0,8
Glendalough,236,736,480,60,5,44,609
Glenfield (WA),5,534,0,11,0,11,314
Glenlynn,0,53,0,0,0,0,38
Glenoran,0,48,0,0,0,0,43
Glentromie,0,40,0,0,0,0,10
Gnangara,33,744,6,3,0,0,262
Gnarabup,6,186,0,0,0,0,223
Gnoorea,0,11,0,0,0,0,0
Gnowangerup,0,364,0,3,0,3,160
Gnowellen,0,14,0,0,0,0,8
Golden Bay,22,1793,9,17,0,15,1527
Goode Beach,0,75,0,0,0,3,110
Goodlands,0,23,0,0,0,0,22
Goomalling,0,349,0,0,0,3,131
Goomarin,0,7,0,0,0,0,4
Gooseberry Hill,36,1842,0,5,0,8,1088
Gorge Rock,0,25,0,0,0,0,7
Gorrie,0,0,0,0,0,0,0
Gosnells,389,9448,545,1353,3,308,6001
Gracetown,9,64,0,0,0,0,139
Granville (WA),0,11,0,0,0,0,6
Grass Patch,0,55,0,0,0,0,56
Grass Valley,0,103,0,0,0,0,53
Green Head,4,160,0,0,0,0,104
Green Range,0,32,0,0,0,0,30
Green Valley (WA),0,30,0,0,0,0,19
Greenbushes,0,226,0,0,0,0,118
Greenfields,116,5365,35,22,3,70,3395
Greenhills,0,29,0,0,0,0,12
Greenmount (WA),36,1368,0,0,0,13,986
Greenough,3,165,0,0,0,0,89
Greenwood (WA),127,5272,48,67,15,40,3430
Greenwoods Valley,0,3,0,0,0,0,7
Gregory (WA),0,47,0,0,0,0,14
Grey,0,4,0,0,0,0,0
Greys Plain,0,77,0,0,0,8,111
Grimwade,0,0,0,0,0,0,0
Guilderton,0,83,0,0,0,0,60
Guildford (WA),16,939,12,9,6,8,672
Gundaring,0,0,0,0,0,0,5
Gunyidi,0,23,0,0,0,0,11
Gutha,0,32,0,0,0,0,23
Gwambygine,0,36,0,0,0,0,24
Gwelup,41,2706,36,19,16,21,1349
Gwindinup,0,29,0,0,0,0,20
Hacketts Gully,0,22,0,0,0,0,25
Halls Creek (WA),6,930,7,0,0,7,240
Halls Head,136,7633,23,34,10,57,4745
Hamel,4,156,0,0,0,0,81
Hamelin Bay,0,31,0,0,0,0,12
Hamelin Pool,0,13,0,0,0,0,7
Hamersley,99,2709,41,38,17,40,1680
Hamersley Range,0,0,0,0,0,0,0
Hamilton Hill,205,4865,79,126,12,81,3731
Hammond Park,112,2414,201,63,0,50,1632
Hannans,15,1393,12,26,0,3,856
Harris River,0,61,0,0,0,0,32
Harrisdale,393,4292,627,260,3,385,2580
Harrismith,0,29,0,0,0,0,23
Harvey,16,2189,6,11,0,6,750
Hastings (WA),4,25,0,0,0,0,7
Hatter Hill,0,0,0,0,0,0,0
Hay (WA),5,153,0,0,0,0,126
Haynes,25,396,54,11,0,10,187
Hazelmere,11,471,3,0,0,3,287
Hazelvale,0,28,0,0,0,0,30
Heathridge,68,3185,51,103,3,41,2660
Helena Valley,32,2083,27,12,0,26,1263
Henderson,0,8,0,0,0,0,4
Henley Brook,30,1502,11,4,0,6,741
Henty (WA),0,107,0,0,0,0,35
Herdsman,0,0,0,0,0,0,0
Herne Hill (WA),14,926,3,9,0,3,423
Herron,8,228,0,0,0,0,130
Hester,4,43,0,0,0,0,45
Hester Brook,3,54,0,0,0,0,41
Higginsville,0,21,0,0,0,0,29
High Wycombe,139,6206,66,106,6,63,4457
Highbury (WA),0,145,0,0,0,0,88
Highgate (WA),77,768,53,14,12,8,962
Hilbert,24,754,73,45,4,17,530
Hill River (WA),0,55,0,0,0,0,39
Hillarys,118,6675,123,73,24,49,3016
Hillman,21,870,9,13,0,21,720
Hillside (WA),0,52,0,0,0,0,12
Hilton (WA),56,1426,28,27,5,37,1836
Hindmarsh (WA),0,26,0,0,0,0,8
Hines Hill,0,29,0,0,0,0,16
Hithergreen,0,33,0,0,0,4,18
Hocking,83,3213,82,75,5,39,2017
Hoddys Well,0,71,0,0,0,0,31
Hoffman,0,23,0,0,0,0,8
Holleton,0,0,0,0,0,0,0
Holmwood,0,16,0,0,0,0,11
Holt Rock,0,27,0,0,0,0,13
Holyoake,0,3,0,0,0,0,8
Hope Valley (WA),0,33,0,0,0,0,18
Hopeland (WA),0,187,0,0,0,0,101
Hopetoun (WA),3,441,0,0,0,6,296
Horrocks,0,100,0,0,0,0,27
Houtman Abrolhos,0,0,0,0,0,0,0
Hovea,5,312,0,0,0,3,257
Howatharra,0,71,0,0,0,0,38
Howick (WA),0,24,0,0,0,0,28
Hulongine,0,23,0,0,0,0,4
Huntingdale (WA),207,4024,230,645,4,171,2729
Hyden,0,244,0,7,3,0,91
Ikewa,0,20,0,0,0,0,6
Iluka (WA),50,3507,50,28,0,47,1340
Indee,0,15,0,0,0,0,9
Inggarda,0,7,0,0,0,0,3
Inglehope,0,16,0,0,0,0,14
Inglewood (WA),103,2821,37,53,36,22,2105
Inkpen,0,16,0,0,0,0,5
Innaloo,188,3774,115,62,8,65,3060
Innawanga,0,10,0,0,0,0,4
Irishtown (WA),5,43,0,0,0,0,19
Irwin,0,44,0,0,0,0,26
Israelite Bay,0,0,0,0,0,0,0
Isseka,0,33,0,0,0,0,30
Jackitup,0,38,0,0,0,0,16
Jacup,0,18,0,0,0,0,36
Jalbarragup,0,61,0,0,0,0,49
Jaloran,0,28,0,0,0,0,0
Jandabup,21,161,0,0,0,0,109
Jandakot,83,1513,15,33,0,46,780
Jane Brook,36,2023,11,27,4,16,1120
Jardee,6,114,0,0,0,0,40
Jarrahdale,6,634,3,0,0,0,405
Jarrahwood,0,5,0,0,0,0,15
Jelcobine,0,92,0,0,0,0,47
Jennacubbine,0,36,0,0,0,0,18
Jennapullin,3,42,0,0,0,0,10
Jerdacuttup,0,75,0,0,0,0,53
Jerramungup,0,148,0,0,0,0,132
Jibberding,0,21,0,0,0,0,15
Jilakin,0,30,0,0,0,0,3
Jindalee (WA),21,1388,25,16,5,7,866
Jindong,0,33,0,0,0,0,25
Jingalup,0,63,0,0,0,0,37
Jitarning,0,19,0,0,0,0,15
Jolimont,36,754,18,15,6,6,460
Joondalup,181,4272,124,289,8,103,3193
Joondanna,142,2315,140,115,17,71,1555
Julimar,3,166,0,0,0,3,121
Juna Downs,0,93,7,10,0,0,85
Jurien Bay,26,819,0,5,0,4,722
Kadathinni,0,22,0,0,0,0,14
Kalamunda,62,3900,17,7,4,34,2318
Kalannie,6,95,0,0,0,0,65
Kalbarri,18,737,0,0,0,9,587
Kalbarri National Park,0,0,0,0,0,0,0
Kalgan,5,363,0,0,0,4,347
Kalgoorlie,53,1914,53,43,0,32,1282
Kalgup,4,39,0,0,0,0,23
Kallaroo,44,3042,31,30,7,10,1558
Kaloorup,0,31,0,0,0,0,43
Kalumburu,0,374,0,0,0,0,16
Kambalda East,14,268,5,5,0,0,303
Kambalda West,10,805,3,11,0,3,702
Kangaroo Gully,4,232,0,0,0,0,152
Kanowna,0,3,0,0,0,0,7
Karakin,12,133,0,0,0,0,85
Karalundi,0,45,0,0,0,0,0
Karawara,153,845,60,122,0,39,625
Kardinya,242,4938,136,187,7,64,2488
Karijini,0,11,0,0,0,0,17
Karlgarin,0,55,0,0,0,0,30
Karlkurla,0,80,0,5,0,0,57
Karloning,0,16,0,0,0,0,9
Karloo,4,281,0,26,0,0,192
Karnup,7,662,10,6,0,14,508
Karragullen,4,244,0,0,0,5,122
Karrakatta,0,6,0,0,0,0,0
Karrakup,5,74,0,0,0,0,73
Karramindie,0,3,0,0,0,0,0
Karranadgin,0,60,0,0,0,0,23
Karratha,0,42,5,0,0,0,29
Karratha Industrial Estate,5,74,7,3,0,0,74
Karridale,8,116,0,0,0,3,124
Karrinyup,112,5020,52,43,24,53,3187
Karroun Hill,0,0,0,0,0,0,0
Katanning,68,1664,26,404,0,12,938
Katrine,0,26,0,0,0,0,7
Kauring,0,42,0,0,0,0,30
Kealy,0,173,0,0,0,0,167
Kebaringup,0,24,0,0,0,0,9
Kellerberrin,0,550,0,0,0,3,287
Kelmscott,164,4969,190,208,7,97,3591
Kendenup,7,429,0,0,0,13,425
Kenmare (WA),0,18,0,0,0,0,10
Kennedy Range,0,0,0,0,0,0,0
Kensington (WA),73,2232,26,43,0,31,1664
Kentdale,0,20,0,0,0,0,70
Kenwick,196,2810,180,404,0,136,1540
Keralup,0,0,0,0,0,0,0
Kewdale,207,2933,150,986,0,58,1854
Keysbrook,29,144,0,0,0,0,88
Kiara,117,944,26,44,7,22,461
Kimbolton (WA),0,0,0,0,0,0,0
King Leopold Ranges,6,110,0,0,0,17,60
King River,4,128,0,0,0,0,104
Kings Park (WA),0,8,0,0,0,0,3
Kingsford (WA),4,185,0,0,0,0,102
Kingsley,139,7673,87,38,25,39,4194
Kingston (WA),0,8,0,0,0,0,3
Kinross,60,3608,23,73,5,35,2559
Kirk Rock,0,11,0,0,0,0,7
Kirup,0,112,0,0,0,5,62
Kojaneerup South,0,14,0,0,0,0,19
Kojarena,0,16,0,0,0,0,10
Kojonup,3,739,0,0,0,5,378
Kokeby,0,46,0,0,0,0,23
Kondinin,0,182,0,3,0,3,110
Kondut,0,32,0,0,0,0,9
Konnongorring,0,53,0,0,0,0,27
Koojan,0,46,0,0,0,0,11
Kookynie,0,24,0,0,0,0,6
Koolanooka,0,12,0,0,0,0,3
Koolyanobbing,0,32,0,0,0,0,33
Koomberkine,0,27,0,0,0,0,32
Koondoola,288,1944,56,434,0,22,877
Koongamia,8,431,0,0,0,3,429
Koorda,0,144,0,0,0,0,90
Korbel,0,28,0,0,0,0,20
Kordabup,6,46,0,0,0,0,75
Korrelocking,0,21,0,0,0,0,13
Kronkup,4,73,0,0,0,3,103
Kudardup,0,49,0,0,0,0,29
Kuender,0,35,0,0,0,0,3
Kukerin,0,35,0,0,0,0,15
Kulikup,0,67,0,0,0,0,28
Kulin,0,207,0,0,0,6,116
Kulin West,0,59,0,0,0,0,23
Kulja,0,12,0,0,0,0,0
Kumarina,0,21,0,0,0,0,18
Kunjin,0,25,0,0,0,0,6
Kununoppin,0,29,0,0,0,0,13
Kununurra,71,2296,25,8,0,32,2078
Kurnalpi,0,8,0,0,0,0,3
Kurrenkutten,0,11,0,0,0,0,10
Kweda,0,7,0,0,0,0,0
Kwelkan,0,0,0,0,0,0,3
Kwinana Beach,0,3,0,0,0,0,4
Kwinana Town Centre,3,118,9,14,0,3,72
Kwolyin,0,15,0,0,0,0,5
Lagrange,4,506,0,0,0,0,95
Lake Argyle,3,93,0,0,0,13,81
Lake Austin,0,3,0,0,0,0,0
Lake Biddy,0,21,0,0,0,0,8
Lake Brown,0,9,0,0,0,0,5
Lake Camm,0,27,0,0,0,0,8
Lake Carnegie,0,3,0,0,0,0,5
Lake Clifton,6,335,0,0,0,4,239
Lake Darlot,0,10,0,0,0,0,12
Lake Deborah,0,21,0,0,0,0,14
Lake Grace,0,309,3,0,0,0,151
Lake Hinds,0,16,0,0,0,0,5
Lake Jasper,0,0,0,0,0,0,10
Lake King,0,60,0,0,0,0,28
Lake Margarette,0,8,0,0,0,0,10
Lake Muir,0,4,0,0,0,0,3
Lake Ninan,0,9,0,0,0,0,0
Lake Toolbrunup,0,45,0,0,0,0,22
Lake Wells,0,3,0,0,0,0,0
Lakelands (WA),58,2432,33,15,0,24,1852
Lamington (WA),20,1166,18,19,0,0,707
Lancelin,10,386,0,0,0,0,244
Landsdale,482,6365,673,645,26,131,3001
Lange,0,150,8,0,0,0,70
Langford,421,2178,196,711,0,147,1582
Latham (WA),0,24,0,0,0,0,28
Lathlain,66,1617,70,47,0,13,1268
Laverton (WA),11,361,5,0,0,3,250
Learmonth (WA),0,9,0,0,0,0,0
Leda,24,1559,22,49,7,26,1201
Ledge Point,5,125,0,3,0,0,57
Leederville,69,1247,7,17,12,17,1397
Leeman,3,191,0,0,0,0,119
Leeming,355,5881,183,126,8,125,3384
Leeuwin,0,3,0,0,0,0,0
Leinster,9,207,0,0,0,0,210
Lennard Brook,0,125,0,0,0,0,44
Leonora,10,302,0,0,0,18,272
Leschenault,14,1657,0,11,0,7,977
Lesley,0,0,0,0,0,0,0
Lesmurdie,63,4996,11,21,7,22,2651
Lexia,0,15,0,0,0,0,10
Lime Lake,0,8,0,0,0,0,11
Linfarne,0,30,0,0,0,0,22
Little Grove,8,686,0,0,0,7,696
Little Italy,0,17,0,0,0,0,0
Little Sandy Desert,0,0,0,0,0,0,6
Lockier,0,11,0,0,0,0,4
Lockridge,122,1601,50,82,7,39,1122
Lockyer (WA),12,605,0,0,0,14,495
Lol Gray,0,13,0,0,0,0,5
Londonderry (WA),0,0,0,0,0,0,0
Lort River,0,19,0,0,0,0,7
Lowden,0,58,0,0,0,0,44
Lower Chittering,10,1160,0,15,0,0,694
Lower Hotham,0,9,0,0,0,0,14
Lower King,16,883,0,0,0,12,749
Lowlands,0,42,0,0,0,0,86
Ludlow,0,54,0,0,0,0,32
Lumeah (WA),0,31,0,0,0,0,41
Lyalls Mill,0,3,0,0,0,0,9
Lyndon,0,26,0,0,0,0,13
Lynwood (WA),169,1460,104,183,4,76,1101
Macleod (WA),0,11,0,0,0,0,20
Maddington,302,5271,544,1174,5,263,2765
Madeley,139,3510,269,174,0,44,1502
Madora Bay,24,1492,7,3,0,18,935
Madura,0,4,0,0,0,0,9
Magenta (WA),0,4,0,0,0,0,0
Magitup,0,20,0,0,0,0,7
Mahogany Creek,3,413,0,0,0,3,304
Mahomets Flats,12,477,4,0,0,0,241
Maida Vale,27,2535,7,25,7,19,1563
Maitland (WA),0,3,0,0,0,0,0
Malabaine,0,27,0,0,0,0,10
Malaga,0,8,0,0,0,0,0
Malebelling,0,22,0,0,0,0,5
