SSC,population
Buchanan (NSW),194
Buckajo,297
Buckaroo,129
Buckenbowra,19
Buckenderra,19
Buckendoon,38
Bucketty,183
Buckra Bendinni,99
Budawang,14
Buddabadah,51
Budden,19
Budderoo,0
Buddong,0
Budgee Budgee (NSW),194
Budgewoi,3362
Budgewoi Peninsula,0
Budgong,67
Buff Point,3506
Bugaldie,140
Bukalong,0
Bukkulla,136
Bulahdelah,1424
Bulee,0
Bulga (NSW),357
Bulga Forest,9
Bulgary,12
Bulla (NSW),6
Bulla Creek,61
Bullaburra,1232
Bullagreen,47
Bullarah,114
Bullatale,39
Bullawa Creek,102
Bulldog,29
Bulli,6108
Bulliac,46
Bullio,85
Bulyeroi,19
Bumbaldry,103
Bumbalong,25
Bundabah,105
Bundagen,137
Bundanoon (NSW),2730
Bundarra,677
Bundeena,1918
Bundella,66
Bundemar,41
Bundewallah,47
Bundook,100
Bundure,8
Bungaba,92
Bungabbee,0
Bungalora,67
Bungarby,76
Bungarribee,2634
Bungawalbin,117
Bungendore,4179
Bungonia,372
Bungowannah,162
Bungwahl,230
Bunnaloo,102
Bunnan,103
Bunyah,140
Bunyan,154
Burcher,84
Bureen,58
Burnt Bridge,155
Burnt Yards,30
Buronga,1215
Burra (Queanbeyan-Palerang Regional - NSW),797
Burra (Snowy Valleys - NSW),68
Burra Creek,81
Burraboi,65
Burradoo,2644
Burraga,91
Burragate,107
Burrandana,21
Burraneer,3587
Burrangong,235
Burrapine,58
Burrawang,361
Burrell Creek,216
Burren Junction,273
Burrier,45
Burrill Lake,1465
Burringbar,853
Burrinjuck,14
Burroway,121
Burrumbuttock,361
Burrundulla,147
Burwood (NSW),16032
Burwood Heights,987
Busby,4286
Busbys Flat,36
Bushells Ridge,19
Buttaba,1097
Buttai,56
Butterwick,141
Buxton (NSW),2027
Byabarra,330
Byadbo Wilderness,0
Byangum,137
Bylong,23
Byng,48
Byrock,50
Byron Bay,5515
Byrrill Creek,127
Bywong,1323
Cabarita (NSW),1962
Cabarita Beach,106
Cabbage Tree Island (Ballina - NSW),78
Cabbage Tree Island (Mid-Coast - NSW),12
Cabramatta,21784
Cabramatta West,7220
Cabramurra,31
Caddens,1474
Cadgee (NSW),43
Cadia,0
Caffreys Flat,52
Cairncross,3
Calala,3931
Calamia,14
Calderwood,177
Caldwell,31
Calga,144
Califat,13
Calimo,70
Callaghan,1327
Callaghans Creek,5
Callala Bay,2193
Callala Beach,805
Calliope (NSW),107
Caloola,87
Cambalong,0
Camberwell (NSW),80
Cambewarra,239
Cambewarra Village,1187
Camboon (NSW),40
Cambra,27
Cambridge Gardens,2017
Cambridge Park,6727
Cambridge Plateau,0
Camden,3230
Camden Head,156
Camden Park (NSW),2240
Camden South,4540
Camellia,0
Cameron Park,7995
Camerons Creek,46
Camira (NSW),33
Cammeray,7004
Camp Creek (NSW),19
Campbelltown (NSW),12564
Camperdown (NSW),10342
Campsie,24538
Campvale,37
Cams Wharf,142
Canada Bay,1237
Canadian Lead,16
Canbelego,41
Candelo,686
Cangai,34
Caniaba,656
Canley Heights,10973
Canley Vale,10215
Canobolas,480
Canoelands,179
Canonba,24
Canowindra,2259
Canterbury (NSW),7230
Canton Beach,1170
Canyonleigh,401
Caparra,71
Capeen Creek,9
Capertee,145
Capoompeta,5
Captains Flat,613
Carabost,54
Caragabal,187
Carcalgong,42
Carcoar,298
Cardiff (NSW),5829
Cardiff Heights,1442
Cardiff South,2833
Carey Bay,894
Cargo,592
Carinda,157
Caringbah,11657
Caringbah South,12241
Carlaminda,41
Carlingford,24394
Carlton (NSW),10719
Carnes Hill,2043
Carnham,6
Carool,173
Caroona,200
Carrabolla,6
Carrai,0
Carramar (NSW),3546
Carrathool,237
Carrick (NSW),130
Carrington (Mid-Coast - NSW),28
Carrington (Newcastle - NSW),1929
Carrington Falls,20
Carroll,336
Carrowbrook,31
Carrs Creek,135
Carrs Island,11
Carrs Peninsula,21
Carss Park,1249
Cartwright,2373
Cartwrights Hill,191
Carwell,15
Carwoola,1428
Cascade (NSW),7
Casino,10910
Cassilis (NSW),310
Castle Cove,2557
Castle Doyle,163
Castle Hill (NSW),39594
Castle Rock,180
Castlecrag,2943
Castlereagh,1168
Casuarina (NSW),2682
Casula,15661
Catalina,2329
Cataract,7
Cathcart (NSW),111
Catherine Field,1655
Catherine Hill Bay,161
Cathundral,42
Cattai,794
Cattle Creek (NSW),31
Cavan (NSW),51
Caves Beach,4051
Cawdor (NSW),437
Cawongla,188
Cecil Hills,7015
Cecil Park,772
Cedar Brush Creek,115
Cedar Creek (Cessnock - NSW),33
Cedar Creek (Tweed - NSW),25
Cedar Party,362
Cedar Point,173
Cells River,0
Centennial Park (NSW),2373
Central Colo,27
Central Macdonald,52
Central Mangrove,268
Central Tilba,290
Cessnock,15174
Chaelundi,0
Chain Valley Bay,2462
Chakola,45
Chambigne,57
Charbon,129
Charles Sturt University,334
Charlestown (NSW),12910
Charleys Forest,66
Charlotte Bay,170
Charlton (NSW),24
Charmhaven,2554
Chatham Valley,24
Chatsbury,88
Chatswood,24914
Chatswood West,1500
Chatsworth (NSW),162
Cheero Point,85
Cheltenham (NSW),2245
Cherry Tree Hill,68
Cherrybrook,18768
Chester Hill,12809
Chichester (NSW),23
Chifley (NSW),3235
Chilcotts Creek,3
Chilcotts Grass,232
Chillingham,227
Chinderah,1564
Chinnock,25
Chippendale,8615
Chipping Norton,9004
Chisholm (NSW),1464
Chiswick,2930
Chittaway Bay,2027
Chittaway Point,938
Chowan Creek,31
Chullora,0
Church Point,997
Clandulla,193
Clare (NSW),21
Claremont Meadows,4776
Clarence,200
Clarence Town,1990
Clarendon (NSW),122
Clarenza,550
Clareville,743
Claymore,2645
Clear Creek,115
Clear Range,29
Clearfield,9
Clemton Park,1665
Clergate,205
Cleveland (NSW),23
Clifden,23
Cliftleigh,890
Clifton (NSW),31
Clifton Grove,845
Clontarf (NSW),1740
Clothiers Creek,282
Clouds Creek,4
Clovelly,4738
Clunes (NSW),865
Clybucca,143
Clyde (NSW),12
Clydesdale (NSW),82
Coal Point,1725
Coalcliff,189
Coaldale,62
Coasters Retreat,46
Cobaki,207
Cobaki Lakes,43
Cobar,3991
Cobar Park,39
Cobargo,774
Cobark,44
Cobbadah,90
Cobbitty,2064
Cobramunga,30
Cockwhy,17
Codrington (NSW),69
Coffee Camp,221
Coffs Harbour,25756
Coggan,5
Cogra Bay,14
Coila,46
Coldstream (NSW),49
Coleambally,1327
Colebee,1927
Coledale,1261
Colinroobie,64
Colinton (NSW),128
Collarenebri,654
Collaroy (NSW),7867
Collaroy Plateau,4767
Collector,315
Collendina,101
Collerina,49
Collie (NSW),188
Collingullie,226
Collingwood (NSW),43
Collins Creek,132
Collombatti,647
Collum Collum,0
Colly Blue,30
Colo (Bathurst Regional - NSW),5
Colo (Hawkesbury - NSW),58
Colo Heights,333
Colo Vale,1617
Colongra,0
Colyton,8437
Comara,17
Combaning,106
Combara,76
Comberton,29
Comboyne,448
Come By Chance,124
Comerong Island,12
Commissioners Creek,67
Como (NSW),3977
Comobella,59
Conargo,122
Concord,14534
Concord West,5916
Condell Park,11573
Condobolin,3491
Condong,311
Coneac,23
Congarinni,316
Congarinni North,380
Congewai,185
Congo,243
Conimbia,14
Coniston,2269
Conjola,148
Conjola Park,343
Connells Point,2827
Constitution Hill,3966
Coogee (NSW),15215
Cookamidgera,158
Cookardinia,67
Cooks Gap,534
Cooks Hill,3618
Cooks Myalls,46
Coolabah,69
Coolac,218
Coolagolite,277
Coolah,1288
Coolamon,2199
Coolangatta (NSW),331
Coolangubra,0
Coolatai,121
Cooleman,0
Cooleys Creek,10
Coolgardie (NSW),122
Coolongolook,389
Coolringdon,67
Coolumbooka,6
Coolumburra,3
Cooma (NSW),6683
Coomba Bay,128
Coomba Park,627
Coombadjha,21
Coombell,19
Coomealla,826
Coomoo Coomoo,10
Coonabarabran,3290
Coonamble,2749
Coongbar,4
Cooperabung,296
Coopernook,540
Coopers Gully,168
Coopers Shoot,266
Cooplacurripa,13
Coorabell,421
Cooranbong,5448
Cootamundra,6787
Cootralantra,90
Cooyal,114
Copacabana,2732
Cope,125
Copeland,67
Copeton,46
Copmanhurst,302
Coppabella (NSW),12
Copperhannia,5
Coraki,1278
Coralville,143
Coramba,812
Corang,11
Corangula,22
Corbie Hill,232
Cordeaux,0
Cordeaux Heights,4556
Coree,41
Coreen,112
Corindi Beach,1684
Corinella (NSW),75
Corlette,5354
Corndale (NSW),320
Corney Town,75
Cornwallis,53
Corobimilla,70
Corowa,5482
Corrabare,10
Corrimal,6518
Corrong,3
Corrowong,9
Corunna,60
Cottage Point,102
Cottonvale (NSW),24
Cougal,33
Countegany,29
Courabyra,96
Couradda,53
Couragago,12
Couridjah,304
Coutts Crossing,1064
Cow Flat,66
Cowabbie,15
Cowan,647
Cowper,91
Cowra,10061
Coxs Creek,53
Coxs Crown,6
Crabbes Creek,288
Crackenback,191
Craigie (NSW),26
Cranebrook,15763
Crangan Bay,0
Craven,116
Craven Plateau,3
Crawford River,47
Crawney,35
Creewah,35
Cremorne (NSW),11221
Cremorne Point,2413
Crescent Head,1532
Crestwood,4599
Cringila,2198
Croki,46
Cromer (NSW),7594
Cronulla,18073
Crooble,63
Croobyar,158
Crooked Corner,60
Crookwell,2640
Croom,114
Croppa Creek,121
Cross Roads (NSW),23
Crosslands,569
Croudace Bay,576
Crowdy Bay National Park,4
Crowdy Head,75
Crows Nest (NSW),4796
Crowther,57
Crowther Island,0
Croydon (NSW),10613
Croydon Park (NSW),11014
Crudine,66
Cryon,41
Crystal Creek (NSW),256
Cubba,35
Cudal,553
Cudgegong,45
Cudgel,31
Cudgen,852
Cudgera Creek,325
Cudmirrah,280
Culburra Beach,2878
Culcairn,1475
Cullen Bullen,281
Cullenbone,32
Cullendore,18
Cullerin,38
Cullivel,15
Culmaran Creek,11
Cumbalum,1522
Cumbandry,18
Cumberland Reach,180
Cumbo,14
Cumborah,248
Cumnock,444
Cundle Flat,14
Cundletown,2053
Cundumbul,37
Cunjurong Point,72
Cunningar,144
Cunninyeuk,33
Curban,124
Curl Curl,2416
Curlew Waters,13
Curlewis (NSW),774
Curlwaa,390
Curra Creek,67
Currabubula,334
Curragh,0
