SSC,population
Normanville (SA),1631
North Adelaide,6953
North Beach (SA),506
North Booborowie,27
North Brighton,2272
North Cape,7
North Haven (SA),5571
North Moonta,541
North Plympton,3226
North Shields,362
North West Bend,10
North Yelta,16
Northern Heights,271
Northfield,4635
Northgate (SA),6225
Norton Summit,532
Norwood (SA),5952
Notts Well,5
Novar Gardens,2505
Nullarbor,49
Nunjikompita,24
Nuriootpa,6314
Nurom,34
Nurragi,34
O'Halloran Hill,2651
O'Sullivan Beach,1879
Oakbank,831
Oakden,3656
Oakden Hills,9
Oaklands Park,3842
Ob Flat,396
Olary,3
Old Calperum,13
Old Noarlunga,1443
Old Reynella,3387
Old Teal Flat,4
Olympic Dam,5
One Tree Hill,1094
Onkaparinga Hills,2525
Oodla Wirra,4
Oodnadatta,197
Orroroo,608
Osborne (SA),1926
Ottoway,2495
Outer Harbor,6
Overland Corner,50
Ovingham,681
Owen,511
Padthaway,317
Paechtown,211
Pages Flat,162
Paisley,84
Palkagee,10
Pallamana,81
Palmer (SA),197
Panitya (SA),10
Panorama,2309
Para Hills,6551
Para Hills West,3192
Para Vista,2905
Parachilna,20
Paracombe,428
Paradise (SA),6773
Parafield,105
Parafield Gardens,16943
Paralowie,16533
Paramatta,9
Paratoo,0
Parawa,78
Parham,216
Parilla,209
Paringa,1108
Paris Creek,189
Park Holme,2859
Parkside (SA),4788
Parnaroo,3
Parndana,153
Parrakie,105
Paruna,52
Pasadena,2992
Paskeville,173
Pata,55
Payneham,2288
Payneham South,1637
Peake,118
Pearlah,57
Peebinga,34
Peep Hill,19
Pekina,70
Pelican Lagoon,61
Pelican Point (SA),85
Pellaring Flat,0
Penfield,809
Penfield Gardens,334
Penneshaw,272
Pennington,3650
Penola,1597
Penong,289
Penrice,437
Penwortham,144
Perlubie,47
Perponda,55
Peterborough (SA),1499
Peterhead,1118
Petersville,70
Petherick,33
Petina,34
Petwood,65
Pewsey Vale,82
Piccadilly (SA),364
Piednippie,24
Pike River,56
Pimba,38
Pimbaacla,11
Pine Creek (SA),0
Pine Hill (SA),58
Pine Point,87
Pinery,105
Pinkawillinie,54
Pinkerton Plains,74
Pinks Beach,74
Pinnaroo,708
Pipalyatjara,188
Pirie East,42
Pleasant Park,42
Plympton,4752
Plympton Park,3244
Point Boston,24
Point Lowly,27
Point Pass,108
Point Pearce,93
Point Souttar,28
Point Sturt,70
Point Turton,335
Polda,4
Polish Hill River,39
Poltalloch,44
Pompoota,61
Ponde,66
Poochera,57
Pooginagoric,63
Pooginook,11
Poonindie,186
Pooraka,7229
Porky Flat,6
Port Adelaide,1222
Port Arthur (SA),6
Port Augusta,6562
Port Augusta West,4040
Port Bonython,19
Port Broughton,1226
Port Davis,12
Port Elliot,2100
Port Gawler,83
Port Germein,371
Port Gibbon,18
Port Hughes,566
Port Julia,46
Port Kenny,66
Port Lincoln,14124
Port Macdonnell,844
Port Mannum,237
Port Moorowie,67
Port Neill,197
Port Noarlunga,2916
Port Noarlunga South,2729
Port Paterson,70
Port Pirie,194
Port Pirie South,3941
Port Pirie West,2620
Port Rickaby,56
Port Victoria,349
Port Vincent,515
Port Wakefield,638
Port Willunga,1642
Porter Lagoon,6
Price,189
Proof Range,7
Prospect (SA),13282
Prospect Hill,158
Pukatja,496
Puntabie,3
Punthari,47
Punyelroo,35
Pureba,0
Purnong,41
Pyap,154
Pyap West,34
Pygery,75
Qualco,61
Queenstown (SA),1880
Quinyambie,17
Quorn,1225
Racecourse Bay,32
Ramco,170
Ramco Heights,126
Ramsay (SA),75
Rapid Bay,16
Red Creek,125
Redbanks,181
Redhill,147
Redwood Park,5418
Reedy Creek (SA),94
Reeves Plains,136
Regency Park,134
Reid (SA),403
Rendelsham,204
Renmark,4638
Renmark North,643
Renmark South,341
Renmark West,1298
Renown Park,1697
Reynella,4756
Reynella East,2015
Rhynie,139
Richmond (SA),3302
Ridgehaven,4005
Ridleyton,1124
Risdon Park,3841
Risdon Park South,2189
Riverglades,820
Riverglen,22
Riverton (SA),1034
Robe,1094
Robertstown,244
Rochester (SA),15
Rockleigh,253
Rocky Camp,142
Rocky Gully (SA),111
Rocky Plain (SA),18
Rocky Point (SA),0
Rogues Point,30
Rose Park,1375
Rosedale (SA),180
Rosetown,149
Rosewater,3274
Roseworthy,992
Rosslyn Park,1460
Rostrevor,7742
Rowland Flat,161
Roxby Downs,3881
Royal Park,2965
Royston Park,1204
Rudall,89
SA Remainder,62
Saddleworth,473
Saints,7
Salisbury (SA),8205
Salisbury Downs,5981
Salisbury East,8973
Salisbury Heights,5186
Salisbury North,9890
Salisbury Park,2164
Salisbury Plain,1212
Salisbury South,96
Salt Creek,32
Salter Springs,59
Saltia,10
Sampson Flat,123
Sandalwood,54
Sandergrove,83
Sanderston,89
Sandilands (SA),101
Sandleton,28
Sandy Creek (SA),296
Sandy Grove,108
Sapphiretown,34
Sceale Bay,40
Schell Well,8
Scott Creek,199
Seacliff,1959
Seacliff Park,2442
Seacombe Gardens,3007
Seacombe Heights,1484
Seaford (SA),4444
Seaford Heights,56
Seaford Meadows,3849
Seaford Rise,6097
Seal Bay,4
Seaton (SA),10363
Seaview Downs,2670
Sebastopol (SA),52
Second Valley,160
Sedan,210
Seddon (SA),100
Sefton Park,1214
Sellicks Beach,2614
Sellicks Hill,304
Semaphore,2767
Semaphore Park,4300
Semaphore South,1014
Senior,121
Seppeltsfield,144
Sevenhill,121
Shaugh,21
Shea-Oak Log,135
Sheaoak Flat,29
Sheidow Park,6670
Sheringa,34
Sherlock (SA),65
Sherwood (SA),98
Short,8
Silverton (SA),27
Skye (SA),286
Sleaford,51
Smithfield (SA),2430
Smithfield Plains,2873
Smoky Bay,275
Snowtown,465
Solomon,59
Solomontown,1107
Somerton Park,5538
South Brighton,2506
South Hummocks,34
South Kilkerran,55
South Plympton,4173
Southend,263
Spalding (SA),281
Spectacle Lake,3
Spence (SA),45
Spring Farm (SA),104
Spring Gully (SA),61
Springfield (SA),522
Springton,672
Square Mile,33
St Agnes (SA),4136
St Clair (SA),1714
St Georges,1629
St Ives (SA),28
St Johns,16
St Kilda (SA),69
St Kitts,42
St Marys (SA),2759
St Morris,1496
St Peters (SA),3216
Stanley (SA),35
Stanley Flat,419
Stansbury,647
Steelton,27
Steinfeld,15
Stephenston,0
Stepney,866
Stewart Range,61
Stirling (SA),2964
Stirling North,2673
Stockport,263
Stockwell,477
Stockyard Creek (SA),16
Stockyard Plain,14
Stokes Bay,50
Stone Hut,24
Stone Well,103
Stonyfell,1208
Stow,9
Strathalbyn (SA),6507
Streaky Bay,1379
Struan,45
Stuart (SA),12
Stuarts Creek,0
Stun'Sail Boom,0
Sturt (SA),2526
Sultana Point,24
Summertown,676
Sunlands,378
Sunnybrae,37
Sunnydale,41
Sunnyside (SA),99
Sunnyvale,39
Surrey Downs,3324
Sutherlands,41
Suttontown,584
Swan Reach (SA),283
Swanport,158
Swede Flat,18
Tailem Bend,1667
Taldra,29
Talia,5
Tantanoola,498
Tanunda,4587
Taperoo,3092
Taplan,45
Taratap,44
Tarcoola,0
Tarcowie,59
Tarlee,299
Tarnma,26
Tarpeena,413
Tatachilla,209
Taunton (SA),4
Taylorville,305
Tea Tree Gully,3244
Teal Flat,3
Telowie,95
Templers,126
Tennyson (SA),1167
Tepko,18
Teringie,821
Terowie,135
The Gap (SA),20
The Pines (SA),111
The Range (SA),151
Thebarton,1430
Thevenard,559
Thomas Plain,36
Thompson Beach,201
Thorngate,187
Thornlea,42
Thrington,25
Tiatukia,269
Tickera,196
Tiddy Widdy Beach,178
Tilley Swamp,27
Tintinara,528
Tolderol,20
Tooligie,24
Tooperang,252
Toora (SA),35
Toorak Gardens,2620
Tootenilla,17
Torrens Island,0
Torrens Park,2602
Torrens Vale,66
Torrensville,4045
Tothill Belt,20
Tothill Creek,13
Totness,92
Towitta,31
Tranmere (SA),3753
Trinity Gardens,1233
Trott Park,3105
Truro,548
Tulka,124
Tumby Bay,1629
Tungkillo,300
Tunkalilla,26
Tusmore,1450
Two Wells,2555
Tyringa,12
Ucolta,12
Uley,0
Uleybury,299
Ulooloo,0
Ulyerra,26
Undalya,31
Underdale,2302
Ungarra,161
Unley,4012
Unley Park,1443
Uno,0
Upper Hermitage,282
Upper Sturt,952
Uraidla,573
Urania,56
Urrbrae,966
Uworra,12
Vale Park,2248
Valley View,6110
Veitch,18
Venus Bay (SA),54
Verdun,208
Verran,90
Victor Harbor,4232
Vine Vale,88
Virginia (SA),1804
Vista,969
Vivonne Bay,76
Waddikee,21
Waikerie,2687
Waitpinga,316
Walker Flat,95
Walkerville (SA),2688
Walkley Heights,3494
Wall Flat,59
Wallala,11
Wallaroo (SA),3482
Wallaroo Mines,431
Wallaroo Plain,48
Wallerberdina,0
Walloway,8
Waltowa,29
Wami Kata,6
Wanbi,42
Wandana (SA),33
Wandearah East,95
Wandearah West,14
Wandilo,174
Wangary,200
Wangolina,67
Wanilla,85
Wappilka,14
Warburto,71
Ward Belt,151
Ward Hill,59
Warnertown,190
Warnes,8
Warooka,346
Warradale,5248
Warramboo,109
Warraweena,18
Washpool (SA),28
Wasleys,720
Watarru,0
Watchman,38
Waterfall Gully,148
Waterloo (SA),86
Waterloo Corner,1219
Watervale,331
Watraba,0
Wattle Flat (SA),162
Wattle Park,1809
Wattle Range,76
Wattle Range East,20
Wauraltee,59
Wayville,1838
Webb Beach,48
Wedge Island (SA),0
Weeroona Island,113
Weetulta,77
Welland,862
Wellington (SA),207
Wellington East,175
Wepar,39
West Beach (SA),4965
West Bundaleer,8
West Croydon,4135
West Hindmarsh,1531
West Lakes,5791
West Lakes Shore,3111
West Range,17
West Richmond,965
Westall,9
Westbourne Park,2565
Western Flat,118
Western River,22
Wharminda,23
White Hill,96
White Hut,18
White Sands,154
White Well Corner,3
Whites Flat,44
Whites River,18
Whites Valley,296
Whitwarta,46
Whyalla,3639
Whyalla Barson,0
Whyalla Jenkins,1949
Whyalla Norrie,6607
Whyalla Playford,2562
Whyalla Stuart,6747
Whyte Yarcowie,47
Wigley Flat,36
Wilcherry,10
Wild Dog Valley (SA),182
Wild Horse Plains,107
Wilgena,20
Willalo,58
Willalooka,142
Willamulka,65
Willaston,3378
William Creek,10
Williamstown (SA),2760
Willippa,22
Willochra,8
Willoughby (SA),9
Willow Creek,40
Willowie,38
Willson River,5
Willunga,2307
Willunga Hill,157
Willunga South,409
Willyaroo,391
Wilmington,586
Windsor (SA),167
Windsor Gardens,5276
Wingfield,476
Winkie,339
Winninowie,0
Winulta,34
Wirrabara,399
Wirraminna,0
Wirrega,29
Wirrina Cove,138
Wirrulla,104
Wisanger,125
Wistow,269
Witera,4
Wokurna,59
Wolseley,180
Wombats Rest,0
Wongulla,57
Wongyarra,52
Wonna,0
Wonuarra,44
Woodchester,224
Woodcroft (SA),11152
Woodforde,619
Woodlane,80
Woodleigh (SA),62
Woods Point (SA),170
Woodside (SA),2607
Woodville (SA),1999
Woodville Gardens,2439
Woodville North,2450
Woodville Park,1734
Woodville South,3174
Woodville West,3093
Wool Bay,139
Woolpunda,19
Woolshed Flat (SA),33
Woolsheds,24
Woolumbool,69
Woolundunga,10
Woomera,146
Worlds End (SA),7
Worrolong,895
Wrattonbully,42
Wudinna,655
Wunkar,68
Wye,94
Wynarka,77
Wynn Vale,7759
Wyomi,100
Yacka,140
Yahl,859
Yalanda,22
Yalata,245
Yallunda Flat,94
Yalpara,5
Yamba (SA),3
Yanerbie,10
Yaninee,79
Yankalilla,910
Yantanabie,16
Yanyarrie,4
Yardea,0
Yarrah,19
Yatala Vale,256
Yatina,32
Yattalunga (SA),314
Yeelanna,86
Yellabinna,0
Yelta (SA),9
Yinkanie,27
Yongala,89
Yorke Valley,24
Yorketown,969
Younghusband,211
Younghusband Holdings,0
Yumali,63
Yumbarra,0
Yundi,163
Yunta,84
Zadows Landing,25
No usual address (SA),2862
Migratory - Offshore - Shipping (SA),8
Abba River,63
Abbey,1274
Acton Park (WA),100
Adamsvale,32
Ajana,58
Albany,1318
Aldersyde,46
Alexander Heights,7925
Alexandra Bridge,8
Alfred Cove,2553
Alkimos,6271
Allanooka,18
Allanson,632
Alma (WA),119
Ambania,11
Ambergate,465
Amelup,62
Angelo River,4
Anketell,243
Anniebrook,57
Antonymyre,0
Applecross,6886
Ardath,55
Ardross,4232
Argyle (WA),546
Armadale (WA),13621
Arrino,50
Arrowsmith,12
Arrowsmith East,44
Arthur River (WA),108
Ascot (WA),2575
Ashby (WA),2664
Ashendon,18
Ashfield (WA),1318
Attadale,6335
Atwell,9060
Aubin Grove,6325
Augusta,1383
Australind,14532
Aveley,10175
Avon Valley National Park,6
Baandee,17
Babakin,57
Babbage Island,19
Badgebup,39
Badgerin Rock,19
Badgin,13
Badgingarra,192
Badjaling,10
Bailup,45
Bakers Hill,1123
Balbarrup,170
Balcatta,10379
Baldivis,31651
Balga,12685
Balingup,543
Balkuling,32
Balla Balla,0
Balladong,71
Balladonia,8
Ballajura,18705
Ballaying,30
Ballidu,62
Bally Bally,47
Bambun,52
Bandy Creek,305
Bandya,213
Banjup,2082
Banksia Grove,9353
Banksiadale,0
Bannister (WA),139
Barbalin,17
Barberton,18
Barrabup,30
Barragup,925
Barrow Island,1966
Baskerville,287
Bassendean (WA),10317
Bateman,3717
Baudin,0
Baynton (WA),4302
Bayonet Head,2956
Bayswater (WA),14435
Beachlands,1422
Beacon,161
Beaconsfield (WA),4986
Beadell,0
Beaufort River,67
Beaumont (WA),50
Beckenham,7521
Bedford,5438
Bedfordale,2853
Beechboro,9062
Beechina,152
Beedelup,40
Beela,31
Beelerup,121
Beeliar,7454
Beenong,25
Beermullah,110
Bejoording,172
Beldon,3946
Belhus,275
Bellevue (WA),1526
Belmont (WA),6783
Bencubbin,239
Benger,215
Benjaberring,16
Benjinup,143
Bennett Springs,5303
Bentley (WA),8784
Beresford,1480
Berkshire Valley,26
Bernier Island,0
Bertram,6212
Beverley (WA),1160
Bibra Lake,5875
Bickley,677
Bicton,6573
Biddelia,8
Big Grove,199
Bilbarin,21
Bilingurr,1349
Bimbijy,0
Bindi Bindi,76
Bindoon,1182
Bindoon Training Area,0
Binduli,5
Binningup,1259
Binnu,73
Birchmont,73
Bluff Point,1348
Blythewood,61
Boallia,44
Bobalong,31
Bodallin,58
Boddington,1197
Boilup,26
Bokal,35
Bolgart,153
Bonnie Rock,41
Bonniefield,192
Boodarie,177
Boodarockin,3
Bookara,116
Boonanarring,39
Boorabbin,3
Booragoon,5530
Booralaming,11
Boorara,0
Boorara Brook,122
Bootenal,39
Boothendarra,28
Boranup,3
Borden,63
Borderdale,40
Bornholm,105
Boscabel,60
Boulder,4825
Boundain,51
Bouvard,828
Bovell,470
Bow Bridge,75
Bowelling,80
Bowes,113
Bowgada,40
Boxwood Hill,84
Boya,647
Boyanup,1217
Boyatup,28
Boyerine,33
Boyup Brook,910
Brabham,3308
Bramley,82
Brazier,46
Breera,38
Bremer Bay,373
Brentwood (WA),2062
Breton Bay,0
Bridgetown,2810
Brigadoon,827
Bringo,38
Broadwater (WA),4253
Broadwood,750
Brockman,1028
Broke (WA),16
Brookdale (WA),2942
Brookhampton,245
Brookton,750
Broome,4039
Broomehill East,121
Broomehill Village,251
Broomehill West,150
Brown Hill (WA),0
Brown Range,145
Bruce Rock,705
Brunswick (WA),1117
Buckingham (WA),23
Buckland (WA),42
Bulgarra,2654
Bull Creek (WA),7743
Bullabulling,9
Bullaring,96
Buller,120
Bullfinch,35
Bullock Hills,5
Bullsbrook,5181
Bulong,0
Bulyee,46
Bunbury (WA),3733
Bundanoon (WA),11
Buniche,23
Bunjil,63
Buntine,64
Burakin,26
Buraminya,0
Burekup,800
Burges,10
Burlong,487
Burma Road,3
Burns Beach,3377
Burnside (WA),273
Burracoppin,103
Burran Rock,17
Burrup,3
Burswood,2335
Busselton,1875
Butler (WA),13275
Byford,14906
Cable Beach,5438
Cadoux,68
Caiguna,8
Calingiri,205
Calista,1995
Caljie,41
Callcup,17
Camballin,723
Cambridge Gulf,45
Camillo,4408
Cancanning,31
Cane,8
Canna,64
Canning Mills,19
Canning Vale,33060
Cannington,5927
Cape Arid,3
Cape Burney,497
Cape Le Grand,19
Cape Range National Park,19
Capel,2511
Capel River,145
Capricorn,56
Caraban,23
Carabooda,441
Carani,21
Carbla,0
Carbunup River,117
Cardiff (WA),105
Cardup,1112
Carey Park,5172
Carine,6480
Carlisle,6477
Carlotta,98
Carmel,774
Carnamah,403
Carnarvon,208
Carrabin,3
Carramar (WA),7169
Carrolup,51
Cartmeticup,54
Cascade (WA),117
Castletown,4002
Casuarina (WA),1742
Cataby,49
Catterick,175
Caversham,5293
Centennial Park (WA),642
Cervantes,528
Chadwick,179
Champion Lakes,1126
Chandler (WA),16
Changerup,53
Channybearup,145
Chapman Hill,118
Charley Creek,67
Cherry Tree Pool,55
Cheynes,17
Chichester (WA),20
Chidlow,1830
Chittering,922
Chowerup,32
Churchlands,3381
City Beach,6611
Clackline,317
Claremont (WA),8149
Clarkson,12966
Cleary,12
Cleaverville,9
Clifton (WA),0
Cloverdale,8069
Coblinine,42
Coburn,0
Cockburn Central,1258
Cocklebiddy,21
Codjatotine,47
Cold Harbour,75
Collanilling,23
College Grove,1579
Collie (WA),7583
Collie Burn,56
Collingwood Heights,675
Collingwood Park (WA),222
Collins,34
Commodine,33
Como (WA),14143
Condingup,275
Connolly,3642
Contine,24
Coodanup,3930
Coogee (WA),4598
Cookernup,507
Cooladar Hill,8
Coolbellup,5324
Coolbinia,1657
Coolcalalaya,13
Coolgardie (WA),877
Cooljarloo,3
Cooloongup,6739
Coolup,391
Coomalbidgup,139
Coomberdale,65
Coonabidgee,129
Coondle,699
Coorow,166
Cooya Pooya,6
Copley (WA),65
Coral Bay,214
Corinthia,5
Corrigin,849
Cosmo Newbery,58
Cossack (WA),0
Cottesloe,7370
Courtenay,48
Cowalellup,26
Cowalla,45
Cowaramup,1902
Cowcowing,20
Coyrecup,37
Craigie (WA),5852
Cramphorne,59
Cranbrook (WA),499
Crawley,4095
Crooked Brook,200
Crossman,203
Crowea,121
Cuballing,452
Cubbine,23
Cue,174
Culham,30
Cullacabardee,42
Cullalla,29
Cundeelee,81
Cunderdin,870
Cundinup,49
Cunjardine,24
Currambine,6909
Cuthbert,157
Daadenning Creek,29
Daggar Hills,0
Daglish,1423
Dale,213
Daliak,63
Dalkeith,4241
Dalwallinu,783
Dalyellup,8995
Dalyup,171
Dampier,1106
Dampier Archipelago,0
Dampier Peninsula,1110
Dandanning,13
Dandaragan,341
Dangin,45
Darch,7088
Dardadine,20
Dardanup,502
Dardanup West,678
Darkan,400
Darling Downs,1200
Darlington (WA),3654
Darradup,36
Dartmoor (WA),8
Dartnall,36
Datatine,25
Davenport (WA),14
Dawesville,5825
Dayton,2832
De Grey,31
Deanmill,326
Deepdale,873
Deepdene (WA),55
Denbarker,79
Denham,751
Denmark,2636
Derby (WA),3512
Devils Creek,30
Dewars Pool,34
Diamond Tree,24
Dianella,23489
Dindiloa,19
Dingup,193
Dinninup,125
Dirk Hartog Island,4
Dixvale,55
Djugun,2833
Dongara,1381
Dongolocking,24
Donnelly River,7
Donnybrook (WA),2822
Doodenanning,45
Doodlakine,75
Dorre Island,0
Doubleview,8408
Dowerin,468
Drome,53
Drummond Cove,1477
Dryandra,4
Drysdale River,28
Dudawa,28
Dudinin,75
Dudley Park (WA),6236
Dukin,33
Dulbelling,46
Dulyalbin,16
Dumbarton,219
Dumberning,186
Dumbleyung,265
Duncraig,15272
Dundas (WA),3
Dunn Rock,16
Dunsborough,5317
Durack (WA),190
Duranillin,65
Durawah,12
Dwarda,16
Dwellingup,558
Eagle Bay,73
East Augusta,27
East Ballidu,50
East Beverley,95
East Bowes,57
East Bunbury,3914
East Cannington,5466
East Carnarvon,902
East Chapman,37
East Damboring,8
East Fremantle,7375
East Lyons River,4
East Munglinup,71
East Murchison,7
East Nabawa,15
East Nannup,29
East Newdegate,17
East Perth,10600
East Pingelly,220
East Popanyinning,17
East Rockingham,260
East Victoria Park,10074
East Wickepin,38
East Yuna,45
Eastbrook,133
Eaton (WA),8488
Eden Hill,3455
Edgewater,4507
Eganu,47
Eglinton (WA),1678
Eighty Mile Beach,105
Elabbin,29
Elachbutting,21
Elgin (WA),117
Elleker,374
Ellenbrook,22683
Ellendale (WA),12
Embleton,3168
Emu Flat (WA),23
Emu Point,310
Eneabba,147
Ennuin,0
Eradu,13
Eradu South,22
Erskine (WA),4665
Esperance,2142
Etmilyn,0
Eucla,54
Eurardy,3
Ewlyamartup,33
Exmouth,2511
Exmouth Gulf,43
Fairbridge,47
Falcon,5162
Ferguson (WA),235
Ferndale (WA),4333
Fimiston,0
Finucane,0
Fitzgerald (WA),0
Fitzgerald River National Park,0
Fitzroy Crossing,1301
Flint,0
Floreat,7900
Flynn (WA),0
Forest Grove (WA),256
Forest Hill (WA),145
Forrest (WA),0
Forrest Beach (WA),41
Forrestania,46
Forrestdale,1075
Forrestfield,12697
Fortescue (WA),45
Frankland River,364
Fraser Range,51
Fremantle,8209
Furnissdale,1026
Gabalong,11
Gabbadah,671
Gabbin,51
Gairdner,110
Gap Ridge,84
Garden Island (WA),719
Gascoyne Junction,77
Gascoyne River,178
Geegully Creek,24
Gelorup,2300
Geographe,3410
Georgina (WA),80
Geraldton,3145
Ghooli,8
Gibb,102
Gibson,452
Gibson Desert North,246
Gibson Desert South,64
Gidgegannup,2741
Gilgering,86
Gillimanning,15
Gillingarra,43
Gilroyd,0
Gingerah,4
Gingin,851
Ginginup,41
Girrawheen,8759
Gledhow,971
Glen Forrest,2779
Glen Iris (WA),2998
Glen Mervyn,47
Glencoe (WA),30
Glendalough,2484
Glenfield (WA),944
Glenlynn,98
Glenoran,94
Glentromie,56
Gnangara,1124
Gnarabup,466
Gnoorea,9
Gnowangerup,598
Gnowellen,29
Golden Bay,3788
Goode Beach,212
Goodlands,48
Goomalling,567
Goomarin,17
Gooseberry Hill,3275
Gorge Rock,33
Gorrie,0
Gosnells,20292
Gracetown,238
Granville (WA),15
Grass Patch,131
Grass Valley,174
Green Head,293
Green Range,69
Green Valley (WA),52
Greenbushes,379
Greenfields,9857
Greenhills,63
Greenmount (WA),2670
Greenough,285
Greenwood (WA),9616
Greenwoods Valley,7
Gregory (WA),64
Grey,4
Greys Plain,202
Grimwade,0
Guilderton,173
Guildford (WA),2012
Gundaring,3
Gunyidi,44
Gutha,58
Gwambygine,65
Gwelup,4536
Gwindinup,51
Hacketts Gully,48
Halls Creek (WA),1499
Halls Head,13865
Hamel,267
Hamelin Bay,46
Hamelin Pool,27
Hamersley,4978
Hamersley Range,0
Hamilton Hill,10385
Hammond Park,4887
Hannans,2546
Harris River,95
Harrisdale,9075
Harrismith,61
Harvey,3316
Hastings (WA),35
Hatter Hill,0
Hay (WA),329
Haynes,755
Hazelmere,869
Hazelvale,67
Heathridge,6664
Helena Valley,3685
Henderson,18
Henley Brook,2519
Henty (WA),150
Herdsman,0
Herne Hill (WA),1530
Herron,437
Hester,101
Hester Brook,105
Higginsville,64
High Wycombe,12307
Highbury (WA),291
Highgate (WA),2209
Hilbert,1556
Hill River (WA),94
Hillarys,10807
Hillman,1847
Hillside (WA),60
Hilton (WA),3938
Hindmarsh (WA),32
Hines Hill,49
Hithergreen,61
Hocking,5915
Hoddys Well,120
Hoffman,42
Holleton,0
Holmwood,28
Holt Rock,39
Holyoake,17
Hope Valley (WA),58
Hopeland (WA),333
Hopetoun (WA),867
Horrocks,141
Houtman Abrolhos,11
Hovea,625
Howatharra,131
Howick (WA),55
Hulongine,30
Huntingdale (WA),8692
Hyden,378
Ikewa,33
Iluka (WA),5264
Indee,34
Inggarda,10
Inglehope,35
Inglewood (WA),5676
Inkpen,20
Innaloo,8252
Innawanga,23
Irishtown (WA),76
Irwin,86
Israelite Bay,0
Isseka,67
Jackitup,50
Jacup,66
Jalbarragup,124
Jaloran,36
Jandabup,303
Jandakot,2655
Jane Brook,3489
Jardee,174
Jarrahdale,1193
Jarrahwood,18
Jelcobine,157
Jennacubbine,60
Jennapullin,71
Jerdacuttup,148
Jerramungup,357
Jibberding,45
Jilakin,46
Jindalee (WA),2519
Jindong,79
Jingalup,117
Jitarning,40
Jolimont,1404
Joondalup,9092
Joondanna,4840
Julimar,344
Juna Downs,228
Jurien Bay,1762
Kadathinni,40
Kalamunda,6971
Kalannie,191
Kalbarri,1560
Kalbarri National Park,0
Kalgan,803
Kalgoorlie,3906
Kalgup,68
Kallaroo,5179
Kaloorup,75
Kalumburu,410
Kambalda East,751
Kambalda West,1787
Kangaroo Gully,430
Kanowna,9
Karakin,247
Karalundi,69
Karawara,2060
Kardinya,8732
Karijini,45
Karlgarin,92
Karlkurla,177
Karloning,25
Karloo,583
Karnup,1372
Karragullen,397
Karrakatta,4
Karrakup,192
Karramindie,3
Karranadgin,77
Karratha,79
Karratha Industrial Estate,214
Karridale,278
Karrinyup,9282
Karroun Hill,0
Katanning,3688
Katrine,45
Kauring,90
Kealy,384
Kebaringup,32
Kellerberrin,974
Kelmscott,10460
Kendenup,992
Kenmare (WA),23
Kennedy Range,4
Kensington (WA),4522
Kentdale,103
Kenwick,5687
Keralup,3
Kewdale,6894
Keysbrook,622
Kiara,1820
Kimbolton (WA),15
King Leopold Ranges,238
King River,269
Kings Park (WA),20
Kingsford (WA),332
Kingsley,13059
Kingston (WA),8
Kinross,6885
Kirk Rock,16
Kirup,216
Kojaneerup South,35
Kojarena,26
Kojonup,1297
Kokeby,89
Kondinin,354
Kondut,42
Konnongorring,83
Koojan,60
Kookynie,38
Koolanooka,16
Koolyanobbing,92
Koomberkine,68
Koondoola,4056
Koongamia,988
Koorda,264
Korbel,48
Kordabup,143
Korrelocking,52
Kronkup,216
Kudardup,96
Kuender,37
Kukerin,67
Kulikup,120
Kulin,369
Kulin West,84
Kulja,15
Kumarina,57
Kunjin,33
Kununoppin,55
Kununurra,5309
Kurnalpi,6
Kurrenkutten,24
Kweda,22
Kwelkan,20
Kwinana Beach,9
Kwinana Town Centre,255
Kwolyin,22
Lagrange,633
Lake Argyle,219
Lake Austin,12
Lake Biddy,40
Lake Brown,12
Lake Camm,37
Lake Carnegie,11
Lake Clifton,683
Lake Darlot,52
Lake Deborah,61
Lake Grace,542
Lake Hinds,23
Lake Jasper,8
Lake King,97
Lake Margarette,20
Lake Muir,21
Lake Ninan,21
Lake Toolbrunup,71
Lake Wells,6
Lakelands (WA),4831
Lamington (WA),2111
Lancelin,727
Landsdale,12208
Lange,250
Langford,5667
Latham (WA),57
Lathlain,3371
Laverton (WA),876
Learmonth (WA),11
Leda,3298
Ledge Point,240
Leederville,3157
Leeman,349
Leeming,10729
Leeuwin,3
Leinster,584
Lennard Brook,191
Leonora,777
Leschenault,2935
Lesley,0
Lesmurdie,8435
Lexia,28
Lime Lake,19
Linfarne,60
Little Grove,1504
Little Italy,12
Little Sandy Desert,9
Lockier,17
Lockridge,3469
Lockyer (WA),1297
Lol Gray,20
Londonderry (WA),0
Lort River,39
Lowden,123
Lower Chittering,2123
Lower Hotham,32
Lower King,1835
Lowlands,160
Ludlow,112
Lumeah (WA),79
Lyalls Mill,19
Lyndon,59
Lynwood (WA),3441
Macleod (WA),35
Maddington,11369
Madeley,6083
Madora Bay,2728
Madura,18
Magenta (WA),6
Magitup,28
Mahogany Creek,898
Mahomets Flats,831
Maida Vale,4496
Maitland (WA),4
Malabaine,42
Malaga,8
Malebelling,37
Mallee Hill,27
Malmalling,0
Malyalling,30
Mandogalup,55
Mandurah,7836
Manjimup,4353
Manmanning,27
Manning,4139
Manypeaks,153
Marangaroo,10587
Maranup,59
Marbelup,349
Marble Bar,631
Marchagee,36
Mardella,486
Mardie,971
Margaret River (WA),7655
Mariginiup,840
Marmion,2284
Marne,16
