,SSC,variable,value,sortOrder
126,Bega,Nil-Payments,14,1
127,Beggan Beggan,Nil-Payments,7,1
128,Belfield,Nil-Payments,19,1
129,Belimbla Park,Nil-Payments,3,1
130,Bella Vista,Nil-Payments,5,1
131,Bellambi,Nil-Payments,7,1
132,Bellata,Nil-Payments,13,1
133,Bellbird,Nil-Payments,5,1
134,Bellbrook,Nil-Payments,4,1
135,Bellevue Hill,Nil-Payments,55,1
136,Bellingen,Nil-Payments,16,1
137,Belmont (NSW),Nil-Payments,19,1
138,Belmont North,Nil-Payments,5,1
139,Belmore,Nil-Payments,51,1
140,Belmore River,Nil-Payments,4,1
141,Belrose,Nil-Payments,14,1
142,Bemboka,Nil-Payments,3,1
143,Ben Lomond (NSW),Nil-Payments,4,1
144,Benandarah,Nil-Payments,3,1
145,Bendemeer,Nil-Payments,8,1
146,Benerembah,Nil-Payments,10,1
147,Bensville,Nil-Payments,4,1
148,Bentley (NSW),Nil-Payments,3,1
149,Berala,Nil-Payments,22,1
150,Beresfield,Nil-Payments,10,1
151,Berkeley,Nil-Payments,13,1
152,Berkeley Vale,Nil-Payments,8,1
153,Berkshire Park,Nil-Payments,10,1
154,Bermagui,Nil-Payments,15,1
155,Berowra,Nil-Payments,4,1
156,Berowra Heights,Nil-Payments,5,1
157,Berrara,Nil-Payments,6,1
158,Berremangra,Nil-Payments,5,1
159,Berridale,Nil-Payments,7,1
160,Berrigan,Nil-Payments,15,1
161,Berrilee,Nil-Payments,4,1
162,Berrima,Nil-Payments,5,1
163,Berry,Nil-Payments,12,1
164,Berry Jerry,Nil-Payments,6,1
165,Berthong,Nil-Payments,3,1
166,Beryl,Nil-Payments,3,1
167,Bethungra,Nil-Payments,6,1
168,Bevendale,Nil-Payments,4,1
169,Beverley Park,Nil-Payments,6,1
170,Beverly Hills,Nil-Payments,32,1
171,Bexhill,Nil-Payments,4,1
172,Bexley,Nil-Payments,52,1
173,Bexley North,Nil-Payments,22,1
174,Biala,Nil-Payments,3,1
175,Biddon,Nil-Payments,7,1
176,Bidwill (NSW),Nil-Payments,8,1
177,Bielsdown Hills,Nil-Payments,3,1
178,Bigga,Nil-Payments,6,1
179,Bilambil Heights,Nil-Payments,8,1
180,Bilgola Plateau,Nil-Payments,3,1
181,Billeroy,Nil-Payments,5,1
182,Billinudgel,Nil-Payments,3,1
183,Bilpin,Nil-Payments,4,1
184,Binalong,Nil-Payments,14,1
185,Binda,Nil-Payments,4,1
186,Bingara,Nil-Payments,14,1
187,Bingie,Nil-Payments,3,1
188,Biniguy,Nil-Payments,4,1
189,Binna Burra (NSW),Nil-Payments,3,1
190,Binnaway,Nil-Payments,8,1
191,Binya,Nil-Payments,9,1
192,Birchgrove,Nil-Payments,13,1
193,Birmingham Gardens,Nil-Payments,5,1
194,Birriwa,Nil-Payments,4,1
195,Birrong,Nil-Payments,12,1
196,Black Head,Nil-Payments,4,1
197,Black Mountain (NSW),Nil-Payments,8,1
198,Black Springs (NSW),Nil-Payments,5,1
199,Blackalls Park,Nil-Payments,5,1
200,Blackbutt (NSW),Nil-Payments,5,1
201,Blackett,Nil-Payments,4,1
202,Blackheath,Nil-Payments,18,1
203,Blacksmiths,Nil-Payments,9,1
204,Blacktown,Nil-Payments,101,1
205,Blackville,Nil-Payments,6,1
206,Blair Athol (NSW),Nil-Payments,7,1
207,Blakehurst,Nil-Payments,18,1
208,Bland,Nil-Payments,3,1
209,Blandford,Nil-Payments,5,1
210,Blaxland (NSW),Nil-Payments,9,1
211,Blayney,Nil-Payments,21,1
212,Bligh Park,Nil-Payments,9,1
213,Blighty,Nil-Payments,8,1
214,Blue Bay,Nil-Payments,6,1
215,Blue Haven,Nil-Payments,11,1
216,Blue Knob,Nil-Payments,5,1
217,Blue Vale,Nil-Payments,3,1
218,Boambee East,Nil-Payments,11,1
219,Boat Harbour (Port Stephens - NSW),Nil-Payments,3,1
220,Bobin,Nil-Payments,6,1
