"","SSC","variable","value"
"390","Blackett","Buddhism",21
"391","Blackheath","Buddhism",100
"392","Blackmans Flat","Buddhism",0
"393","Blackmans Point","Buddhism",0
"394","Blacksmiths","Buddhism",28
"395","Blackville","Buddhism",0
"396","Blackwall (NSW)","Buddhism",23
"397","Blair Athol (NSW)","Buddhism",229
"398","Blairmount","Buddhism",14
"399","Blakebrook","Buddhism",0
"400","Blakehurst","Buddhism",208
"401","Blakney Creek","Buddhism",0
"402","Bland","Buddhism",0
"403","Blandford","Buddhism",0
"404","Blaxland (NSW)","Buddhism",46
"405","Blaxlands Creek","Buddhism",0
"406","Blaxlands Ridge","Buddhism",3
"407","Blayney","Buddhism",12
"408","Bligh Park","Buddhism",26
"409","Blighty","Buddhism",0
"410","Blowering","Buddhism",0
"411","Blue Bay","Buddhism",6
"412","Blue Haven","Buddhism",41
"413","Blue Knob","Buddhism",4
"414","Blue Mountains National Park","Buddhism",0
"415","Blue Nobby","Buddhism",0
"416","Blue Vale","Buddhism",0
"417","Blueys Beach","Buddhism",5
"418","Boambee","Buddhism",8
"419","Boambee East","Buddhism",41
"420","Boambolo","Buddhism",0
"421","Boat Harbour (Lismore - NSW)","Buddhism",0
"422","Boat Harbour (Port Stephens - NSW)","Buddhism",6
"423","Bobadah","Buddhism",0
"424","Bobin","Buddhism",0
"425","Bobs Creek","Buddhism",0
"426","Bobs Farm","Buddhism",4
"427","Bobundara","Buddhism",0
"428","Boco","Buddhism",0
"429","Bocoble","Buddhism",0
"430","Bocobra","Buddhism",0
"431","Bodalla","Buddhism",15
"432","Bodangora","Buddhism",0
"433","Boeill Creek","Buddhism",0
"434","Bogan","Buddhism",0
"435","Bogan Gate","Buddhism",0
"436","Bogangar","Buddhism",43
"437","Bogee","Buddhism",0
"438","Boggabilla","Buddhism",0
"439","Boggabri","Buddhism",6
"440","Bogong Peaks Wilderness","Buddhism",0
"441","Bohena Creek","Buddhism",0
"442","Bohnock","Buddhism",0
"443","Bolaro","Buddhism",0
"444","Bolivia","Buddhism",0
"445","Bolong","Buddhism",5
"446","Bolton Point","Buddhism",25
"447","Bolwarra (NSW)","Buddhism",6
"448","Bolwarra Heights","Buddhism",11
"449","Bom Bom","Buddhism",0
"450","Bomaderry","Buddhism",52
"451","Bombah Point","Buddhism",0
"452","Bombala","Buddhism",7
"453","Bombay","Buddhism",0
"454","Bombira","Buddhism",0
"455","Bombo","Buddhism",0
"456","Bombowlee","Buddhism",0
"457","Bombowlee Creek","Buddhism",0
"458","Bomen","Buddhism",0
"459","Bomera","Buddhism",0
"460","Bonalbo","Buddhism",6
"461","Bondi","Buddhism",133
"462","Bondi Beach","Buddhism",165
"463","Bondi Forest","Buddhism",0
"464","Bondi Junction","Buddhism",212
"465","Bonnells Bay","Buddhism",31
"466","Bonnet Bay","Buddhism",15
"467","Bonny Hills","Buddhism",21
"468","Bonnyrigg","Buddhism",2658
"469","Bonnyrigg Heights","Buddhism",1589
"470","Bonshaw (NSW)","Buddhism",0
"471","Bonville","Buddhism",31
"472","Booerie Creek","Buddhism",0
"473","Book Book","Buddhism",0
"474","Booker Bay","Buddhism",5
"475","Bookham","Buddhism",0
"476","Bookookoorara","Buddhism",0
"477","Bookram","Buddhism",0
"478","Boolambayte","Buddhism",0
"479","Boolaroo","Buddhism",7
"480","Boolcarroll","Buddhism",0
"481","Booligal","Buddhism",0
"482","Boolijah","Buddhism",0
"483","Boomanoomana","Buddhism",0
"484","Boomerang Beach","Buddhism",0
"485","Boomey","Buddhism",0
"486","Boomi","Buddhism",0
"487","Boomi Creek","Buddhism",0
"488","Boona Mount","Buddhism",0
"489","Boonal","Buddhism",0
"490","Boonoo Boonoo","Buddhism",0
"491","Boorabee Park","Buddhism",0
"492","Booragul","Buddhism",3
"493","Booral (NSW)","Buddhism",4
"494","Boorga","Buddhism",0
"495","Boorganna","Buddhism",0
"496","Boorolong","Buddhism",0
"497","Boorook","Buddhism",0
"498","Boorooma","Buddhism",14
"499","Booroorban","Buddhism",0
"500","Boorowa","Buddhism",7
"501","Bootawa","Buddhism",0
"502","Booti Booti","Buddhism",0
"503","Booyong","Buddhism",0
"504","Bora Ridge","Buddhism",3
"505","Borah Creek","Buddhism",0
"506","Borambola","Buddhism",0
"507","Border Ranges","Buddhism",0
"508","Boree","Buddhism",0
"509","Boree Creek","Buddhism",0
"510","Borenore","Buddhism",3
"511","Boro","Buddhism",0
"512","Bossley Park","Buddhism",1024
"513","Bostobrick","Buddhism",3
"514","Botany","Buddhism",217
"515","Botobolar","Buddhism",0
"516","Bottle Creek","Buddhism",0
"517","Bouddi","Buddhism",0
"518","Bourbah","Buddhism",0
"519","Bourke","Buddhism",6
"520","Bourkelands","Buddhism",17
"521","Bournda","Buddhism",0
"522","Bournewood","Buddhism",0
"523","Bow Bowing","Buddhism",67
"524","Bowan Park","Buddhism",0
"525","Bowen Mountain","Buddhism",18
"526","Bowenfels","Buddhism",4
"527","Bowling Alley Point","Buddhism",0
"528","Bowman","Buddhism",3
"529","Bowman Farm","Buddhism",0
"530","Bowmans Creek","Buddhism",0
"531","Bowna","Buddhism",0
"532","Bowning","Buddhism",0
"533","Bowral","Buddhism",92
"534","Bowraville","Buddhism",18
"535","Box Head","Buddhism",0
"536","Box Hill (NSW)","Buddhism",9
"537","Box Ridge","Buddhism",0
"538","Boxers Creek","Buddhism",3
"539","Boydtown","Buddhism",0
"540","Bradbury (NSW)","Buddhism",123
"541","Braefield","Buddhism",0
"542","Braemar Bay","Buddhism",0
"543","Braidwood","Buddhism",9
"544","Brandy Hill","Buddhism",6
"545","Branxton","Buddhism",12
"546","Braunstone","Buddhism",0
"547","Brawboy","Buddhism",0
"548","Bray Park (NSW)","Buddhism",14
"549","Brays Creek","Buddhism",0
"550","Brayton","Buddhism",0
"551","Breadalbane (NSW)","Buddhism",0
"552","Breakfast Creek","Buddhism",0
"553","Breakfast Point","Buddhism",114
"554","Bream Beach","Buddhism",0
"555","Bredbo","Buddhism",0
"556","Breelong","Buddhism",0
"557","Breeza","Buddhism",0
"558","Bretti","Buddhism",0
"559","Brewarrina","Buddhism",0
"560","Brewongle","Buddhism",0
"561","Briarbrook","Buddhism",0
"562","Bribbaree","Buddhism",0
"563","Bridgman","Buddhism",0
"564","Brierfield","Buddhism",14
"565","Brighton-le-Sands","Buddhism",181
"566","Brightwaters","Buddhism",4
"567","Bril Bril","Buddhism",0
"568","Brimbin","Buddhism",0
"569","Brindabella","Buddhism",0
"570","Brinerville","Buddhism",0
"571","Bringelly","Buddhism",30
"572","Bringenbrong","Buddhism",0
