"","V1","SSC","variable","value"
"368","1852","Hardys Bay","Train",8
"369","1858","Harrington","Train",3
"370","1859","Harrington Park","Train",152
"371","1860","Harris Park","Train",832
"372","1861","Hartley (NSW)","Train",3
"373","1866","Hassall Grove","Train",109
"374","1872","Hawkesbury Heights","Train",6
"375","1877","Haymarket","Train",756
"376","1880","Haywards Bay","Train",6
"377","1881","Hazelbrook","Train",195
"378","1883","Heathcote (NSW)","Train",347
"379","1886","Hebersham","Train",112
"380","1887","Heckenberg","Train",26
"381","1888","Heddon Greta","Train",3
"382","1890","Helensburgh","Train",331
"383","1891","Henley","Train",4
"384","1895","Hermitage Flat","Train",4
"385","1900","High Range","Train",3
"386","1905","Hill Top (Wingecarribee - NSW)","Train",4
"387","1915","Hinchinbrook (NSW)","Train",186
"388","1917","Hobartville (NSW)","Train",54
"389","1921","Holgate","Train",13
"390","1925","Holroyd","Train",111
"391","1926","Holsworthy","Train",562
"392","1929","Homebush (NSW)","Train",1171
"393","1930","Homebush West","Train",1440
"394","1935","Horningsea Park","Train",89
"395","1936","Hornsby","Train",3419
"396","1937","Hornsby Heights","Train",255
"397","1941","Horsfield Bay","Train",32
"398","1942","Horsley","Train",73
"399","1943","Horsley Park","Train",14
"400","1951","Hoxton Park","Train",88
"401","1963","Hurlstone Park","Train",620
"402","1964","Hurstville","Train",4394
"403","1965","Hurstville Grove","Train",197
"404","1974","Illawong","Train",219
"405","1978","Ingleburn","Train",1172
"406","1990","Islington","Train",10
"407","2000","Jamisontown","Train",130
"408","2001","Jannali","Train",752
"409","2002","Jaspers Brush","Train",3
"410","2023","Jesmond","Train",7
"411","2024","Jewells","Train",4
"412","2027","Jilliby","Train",17
"413","2030","Jindabyne","Train",15
"414","2042","Jordan Springs","Train",213
"415","2046","Junee","Train",3
"416","2055","Kanahooka","Train",31
"417","2060","Kangaroo Point (NSW)","Train",9
"418","2064","Kangy Angy","Train",4
"419","2065","Kanimbla (NSW)","Train",3
"420","2067","Kanwal","Train",27
"421","2073","Kareela","Train",148
"422","2074","Kariong","Train",69
"423","2077","Katoomba","Train",206
"424","2079","Kearns","Train",90
"425","2085","Keiraville","Train",44
"426","2088","Kellyville","Train",136
"427","2089","Kellyville Ridge","Train",112
"428","2094","Kemps Creek","Train",10
"429","2099","Kensington (NSW)","Train",71
"430","2100","Kenthurst","Train",23
"431","2101","Kentlyn","Train",9
"432","2116","Kiama","Train",54
"433","2117","Kiama Downs","Train",34
"434","2125","Kilaben Bay","Train",9
"435","2129","Killara (NSW)","Train",1245
"436","2130","Killarney Heights","Train",21
"437","2131","Killarney Vale","Train",33
"438","2133","Killcare","Train",15
"439","2134","Killcare Heights","Train",20
"440","2141","Kincumber","Train",72
"441","2142","Kincumber South","Train",7
"442","2149","Kings Langley","Train",235
"443","2150","Kings Park (NSW)","Train",157
"444","2156","Kingsford (NSW)","Train",37
"445","2158","Kingsgrove","Train",952
"446","2163","Kingswood (Penrith - NSW)","Train",433
"447","2171","Kirkham","Train",13
"448","2172","Kirrawee","Train",708
"449","2173","Kirribilli","Train",752
"450","2181","Kogarah","Train",2481
"451","2182","Kogarah Bay","Train",77
"452","2185","Koolewong","Train",68
"453","2187","Koonawarra","Train",29
"454","2199","Kosciuszko National Park","Train",6
"455","2200","Kotara","Train",15
"456","2206","Kulnura","Train",3
"457","2215","Kurmond","Train",7
"458","2216","Kurnell","Train",17
"459","2217","Kurraba Point","Train",36
"460","2218","Kurrajong","Train",32
"461","2219","Kurrajong Heights","Train",9
"462","2220","Kurrajong Hills","Train",4
"463","2226","Kyeemagh","Train",15
"464","2227","Kyle Bay","Train",39
"465","2247","Lake Haven","Train",15
"466","2248","Lake Heights","Train",21
"467","2250","Lake Illawarra","Train",10
"468","2253","Lake Munmorah","Train",14
"469","2256","Lakelands (NSW)","Train",5
"470","2257","Lakemba","Train",1108
"471","2261","Lalor Park","Train",225
"472","2266","Lane Cove","Train",75
"473","2267","Lane Cove North","Train",403
"474","2268","Lane Cove West","Train",11
"475","2275","Lansvale","Train",62
"476","2276","Lapstone","Train",71
"477","2278","Largs","Train",5
"478","2285","Lavender Bay","Train",164
"479","2289","Lawson (NSW)","Train",124
"480","2297","Leichhardt (NSW)","Train",373
"481","2300","Lemon Tree Passage","Train",6
"482","2304","Leonay","Train",72
"483","2305","Leppington","Train",105
"484","2307","Lethbridge Park","Train",59
"485","2308","Leumeah","Train",610
"486","2309","Leura","Train",170
